주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"7,844","7,578","6,737","5,782","7,291"
영업이익,384,148,329,185,349
영업이익(발표기준),384,148,329,185,349
세전계속사업이익,327,130,317,117,437
당기순이익,228,20,181,81,373
  당기순이익(지배),197,105,136,65,197
  당기순이익(비지배),31,-85,45,16,176
자산총계,"8,270","7,816","7,529","7,417","8,091"
부채총계,"3,020","2,605","2,231","2,114","2,518"
자본총계,"5,250","5,211","5,298","5,303","5,574"
  자본총계(지배),"3,700","3,759","3,826","3,840","3,961"
  자본총계(비지배),"1,550",,"1,472","1,463","1,613"
자본금,542,542,542,542,542
영업활동현금흐름,705,-93,460,"1,007",-540
투자활동현금흐름,-300,111,147,-523,291
재무활동현금흐름,-252,-279,-540,-208,11
CAPEX,208,179,70,87,109
FCF,497,-272,390,920,-649
이자발생부채,"1,335","1,217",774,663,771
영업이익률,4.89,1.95,4.89,3.19,4.79
순이익률,2.91,0.27,2.68,1.41,5.12
ROE(%),5.41,2.82,3.58,1.71,5.05
ROA(%),2.74,0.25,2.36,1.09,4.81
부채비율,57.53,49.99,42.10,39.86,45.17
자본유보율,603.43,614.46,626.35,628.90,650.72
EPS(원),364,194,250,121,363
PER(배),10.82,12.60,10.38,28.15,9.76
BPS(원),"7,181","7,295","7,426","7,453","7,687"
PBR(배),0.55,0.34,0.35,0.46,0.46
현금DPS(원),150,130,130,130,130
현금배당수익률,3.81,5.32,5.01,3.83,3.67
현금배당성향(%),39.19,63.66,49.37,102.38,34.00
발행주식수(보통주),"54,244,482","54,244,482","54,244,482","54,244,482",
