주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,85,149,169,186,274
영업이익,53,82,108,128,212
영업이익(발표기준),53,82,108,128,212
세전계속사업이익,52,80,106,127,211
당기순이익,40,62,85,99,189
  당기순이익(지배),40,62,85,99,189
  당기순이익(비지배),0,0,0,0,0
자산총계,259,288,573,644,854
부채총계,10,56,61,59,110
자본총계,249,232,512,585,744
  자본총계(지배),249,232,512,585,744
  자본총계(비지배),,,,,
자본금,73,77,98,98,98
영업활동현금흐름,-11,83,-16,-59,14
투자활동현금흐름,0,-68,-57,44,0
재무활동현금흐름,0,-35,155,-38,8
CAPEX,0,4,3,6,0
FCF,,,,,
이자발생부채,0,32,10,0,40
영업이익률,61.61,54.88,63.78,68.57,77.31
순이익률,47.41,41.71,50.34,52.93,68.83
ROE(%),18.10,25.75,22.88,17.98,28.43
ROA(%),16.94,22.67,19.77,16.20,25.22
부채비율,3.84,24.02,11.93,10.16,14.74
자본유보율,239.23,201.83,424.82,499.57,662.74
EPS(원),275,443,604,632,"1,210"
PER(배),,,12.86,10.72,6.58
BPS(원),"1,696","2,021","3,280","3,747","4,766"
PBR(배),0.00,0.00,2.37,1.81,1.67
현금DPS(원),0,0,160,190,250
현금배당수익률,,,2.06,2.81,3.14
현금배당성향(%),0.00,0.00,29.34,30.08,20.66
발행주식수(보통주),"14,690,000","11,490,000","15,610,000","15,610,000","15,610,000"
