주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,774,780,612,728,819,931,"1,063","1,236"
영업이익,38,59,93,143,187,228,270,296
영업이익(발표기준),38,59,93,143,187,,,
세전계속사업이익,46,70,99,222,191,240,282,303
당기순이익,36,55,93,174,149,188,221,237
  당기순이익(지배),35,55,93,174,149,188,221,237
  당기순이익(비지배),1,,,,,,,
자산총계,357,371,633,992,"1,361","1,542","1,804","2,304"
부채총계,192,148,90,321,369,434,468,539
자본총계,165,223,542,671,992,"1,108","1,335","1,765"
  자본총계(지배),165,223,542,671,992,"1,108","1,335","1,765"
  자본총계(비지배),,,,,,,,
자본금,28,28,34,34,69,57,57,69
영업활동현금흐름,49,76,71,337,241,241,268,326
투자활동현금흐름,9,-36,-178,-119,-512,-105,-98,-61
재무활동현금흐름,-78,-36,179,-52,93,-22,-15,-14
CAPEX,4,21,18,8,36,47,47,40
FCF,46,56,53,330,205,188,216,272
이자발생부채,80,40,12,19,21,,,
영업이익률,4.91,7.52,15.15,19.62,22.80,24.45,25.42,23.95
순이익률,4.68,7.05,15.16,23.87,18.15,20.23,20.75,19.18
ROE(%),24.05,28.29,23.77,28.66,17.87,17.93,18.06,15.29
ROA(%),9.51,15.10,18.42,21.40,12.63,12.97,13.19,11.54
부채비율,115.97,66.16,16.69,47.83,37.15,39.17,35.07,30.54
자본유보율,524.90,720.69,"1,637.37","2,102.77","1,378.03",,,
EPS(원),301,488,700,"1,300","1,095","1,366","1,601","1,719"
PER(배),,,30.98,27.87,24.43,14.53,12.40,11.55
BPS(원),"1,468","1,984","4,096","5,093","7,329","8,184","9,863","13,037"
PBR(배),0.00,0.00,5.29,7.12,3.65,2.43,2.01,1.52
현금DPS(원),0,76,101,126,100,152,152,100
현금배당수익률,,,0.47,0.35,0.37,0.77,0.77,0.50
현금배당성향(%),0.00,15.53,14.29,9.45,9.11,11.13,9.50,5.82
발행주식수(보통주),"11,131,268","11,131,268","13,369,755","13,369,755","13,786,248",,,
