주요재무정보,"2017/12
(IFRS별도)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(GAAP개별)","2021/12
(IFRS연결)"
매출액,,,235,341,379
영업이익,,,2,45,51
영업이익(발표기준),,,2,45,51
세전계속사업이익,,,2,53,54
당기순이익,,,2,45,48
  당기순이익(지배),,,2,45,48
  당기순이익(비지배),,,,,
자산총계,,,70,140,217
부채총계,,,38,61,84
자본총계,,,33,78,134
  자본총계(지배),,,33,78,134
  자본총계(비지배),,,,,
자본금,,,16,16,16
영업활동현금흐름,,,4,58,51
투자활동현금흐름,,,-4,-33,-9
재무활동현금흐름,,,1,-1,-16
CAPEX,,,1,2,7
FCF,,,3,56,44
이자발생부채,,,11,10,5
영업이익률,,,0.84,13.31,13.37
순이익률,,,0.88,13.30,12.71
ROE(%),,,,81.77,
ROA(%),,,,43.23,
부채비율,,,116.64,77.75,62.75
자본유보율,,,93.97,377.62,734.52
EPS(원),,,4,97,103
PER(배),,,,,
BPS(원),,,70,168,286
PBR(배),,,,,
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,0.00
발행주식수(보통주),"46,685,200","46,685,200","46,685,200","46,685,200","46,685,200"
