주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,899","5,892","6,161","8,547","14,856","35,060","51,058","72,796"
영업이익,223,503,371,548,"1,150","2,521","3,945","5,824"
영업이익(발표기준),223,503,371,548,"1,150",,,
세전계속사업이익,152,429,283,476,"1,144","2,415","3,834","5,692"
당기순이익,152,369,345,467,978,"1,991","3,124","4,648"
  당기순이익(지배),152,369,345,469,"1,008","1,806","2,752","4,090"
  당기순이익(비지배),,,,-3,-30,,,
자산총계,"2,963","4,645","6,504","7,990","14,259","23,175","30,703","40,053"
부채총계,"1,811","3,039","2,802","3,317","8,297","12,777","17,014","21,540"
자본총계,"1,152","1,605","3,702","4,673","5,961","10,398","13,689","18,512"
  자본총계(지배),"1,152","1,605","3,702","4,436","5,517","9,607","12,589","17,212"
  자본총계(비지배),,,,237,444,,,
자본금,78,81,103,105,115,136,137,138
영업활동현금흐름,117,238,128,"1,250","-1,009","1,100","2,819","4,580"
투자활동현금흐름,-477,-730,"-1,823",-944,"-2,373","-3,871","-4,874","-5,357"
재무활동현금흐름,441,449,"1,801",90,"3,836","4,553","2,331","1,453"
CAPEX,467,728,"1,818",984,"2,360","3,820","4,739","5,314"
FCF,-350,-489,"-1,690",266,"-3,369","-2,426","-1,610","-1,087"
이자발생부채,"1,469","1,899","2,067","1,970","5,532",,,
영업이익률,7.69,8.53,6.02,6.41,7.74,7.19,7.73,8.00
순이익률,5.23,6.26,5.60,5.46,6.58,5.68,6.12,6.39
ROE(%),14.13,26.73,12.99,,20.26,23.89,24.80,27.45
ROA(%),5.77,9.69,6.19,,8.79,10.64,11.59,13.14
부채비율,157.12,189.30,75.67,70.97,139.18,122.88,124.29,116.36
자본유보율,"1,380.71","1,862.21","3,526.31","3,900.07","4,510.82",,,
EPS(원),964,"2,310","1,720","2,214","4,581","7,553","11,220","16,673"
PER(배),,,30.37,75.70,107.75,59.51,40.06,26.96
BPS(원),"7,434","9,880","18,083","21,170","24,156","39,292","51,489","70,395"
PBR(배),0.00,0.00,2.93,8.03,20.73,11.44,8.73,6.39
현금DPS(원),0,0,148,443,907,875,907,971
현금배당수익률,,,0.28,0.26,0.18,0.19,0.20,0.22
현금배당성향(%),0.00,0.00,8.91,20.10,20.84,11.11,7.55,5.44
발행주식수(보통주),"15,729,862","16,490,985","20,860,807","21,347,114","23,259,358",,,
