주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,692,"1,412","2,353","2,932","3,703","4,489","5,075","5,340"
영업이익,50,202,398,545,689,848,970,"1,030"
영업이익(발표기준),50,202,398,545,689,,,
세전계속사업이익,40,125,249,539,721,872,"1,025","1,210"
당기순이익,30,86,161,383,583,680,800,940
  당기순이익(지배),30,86,162,383,583,678,800,940
  당기순이익(비지배),,,0,0,0,,,
자산총계,397,724,"1,335","2,572","3,781","4,375","4,955","5,530"
부채총계,224,562,581,938,"1,580","1,510","1,310","1,010"
자본총계,174,161,754,"1,634","2,201","2,865","3,645","4,520"
  자본총계(지배),174,161,754,"1,634","2,201","2,865","3,645","4,520"
  자본총계(비지배),,,0,0,,,,
자본금,2,2,31,36,73,90,90,110
영업활동현금흐름,39,222,82,436,404,725,975,"1,000"
투자활동현금흐름,-21,-73,-84,-645,"-1,156",-420,-420,-190
재무활동현금흐름,89,15,45,738,478,-100,-290,-170
CAPEX,14,73,68,640,859,120,120,130
FCF,26,149,15,-205,-455,370,595,870
이자발생부채,93,106,92,394,935,,,
영업이익률,7.22,14.32,16.92,18.58,18.61,18.89,19.11,19.29
순이익률,4.40,6.10,6.86,13.07,15.75,15.15,15.76,17.60
ROE(%),26.83,,35.28,32.10,30.41,26.79,24.58,23.03
ROA(%),10.45,,15.68,19.61,18.36,16.68,17.15,17.93
부채비율,128.62,348.41,77.01,57.41,71.77,52.71,35.94,22.35
자본유보율,"6,992.57","7,090.56","2,336.80","4,366.63","2,894.20",,,
EPS(원),376,930,"1,498","2,878","4,009","4,665","5,500","6,463"
PER(배),,,,6.88,7.38,7.18,6.09,5.18
BPS(원),"1,952","1,634","6,100","11,233","15,132","19,698","25,061","31,077"
PBR(배),0.00,0.00,0.00,1.76,1.96,1.70,1.34,1.08
현금DPS(원),0,0,0,200,200,250,250,300
현금배당수익률,,,,1.01,0.68,0.75,0.75,0.90
현금배당성향(%),0.00,0.00,0.00,7.59,4.99,5.36,4.54,4.64
발행주식수(보통주),"8,000,000","8,976,600","12,364,762","14,544,656","14,544,656",,,
