주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"5,630","6,079","6,426","6,306","4,174"
영업이익,"1,430","1,601","1,061","1,876",973
영업이익(발표기준),"1,430","1,601","1,061","1,876",973
세전계속사업이익,"1,440","1,636","1,153","1,947","1,013"
당기순이익,"1,006","1,219",847,"1,444",726
  당기순이익(지배),"1,006","1,219",847,"1,444",726
  당기순이익(비지배),,,,,0
자산총계,"7,036","8,777","9,298","10,650","12,134"
부채총계,"1,088","1,744","1,587","1,642","2,561"
자본총계,"5,948","7,033","7,711","9,008","9,573"
  자본총계(지배),"5,948","7,033","7,711","9,008","9,565"
  자본총계(비지배),,,,,7
자본금,454,454,454,454,454
영업활동현금흐름,"1,388","1,084","1,268",63,-924
투자활동현금흐름,-415,161,250,"-2,012",-762
재무활동현금흐름,-105,-136,-199,-172,"1,038"
CAPEX,5,13,9,0,3
FCF,"1,382","1,071","1,259",63,-927
이자발생부채,0,12,38,22,"1,240"
영업이익률,25.41,26.33,16.51,29.74,23.32
순이익률,17.87,20.06,13.18,22.90,17.39
ROE(%),18.31,18.79,11.49,17.28,
ROA(%),14.82,15.42,9.37,14.48,
부채비율,18.30,24.80,20.57,18.23,26.75
자본유보율,"1,210.01","1,448.90","1,598.39","1,883.86","2,006.75"
EPS(원),"1,108","1,343",933,"1,590",799
PER(배),4.49,2.98,4.38,3.18,6.68
BPS(원),"6,550","7,745","8,492","9,919","10,534"
PBR(배),0.76,0.52,0.48,0.51,0.51
현금DPS(원),160,185,170,185,150
현금배당수익률,3.21,4.63,4.16,3.66,2.81
현금배당성향(%),13.39,13.78,18.23,11.63,18.76
발행주식수(보통주),"90,808,100","90,808,100","90,808,100","90,808,100","90,808,100"
