주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,475,510,450,412,495
영업이익,36,39,10,1,5
영업이익(발표기준),36,39,10,1,5
세전계속사업이익,26,38,17,-2,55
당기순이익,23,31,17,3,46
  당기순이익(지배),23,31,17,3,46
  당기순이익(비지배),,,,,
자산총계,563,590,756,761,800
부채총계,243,254,322,328,322
자본총계,320,336,434,433,478
  자본총계(지배),320,336,434,433,478
  자본총계(비지배),,,,,
자본금,22,33,42,42,42
영업활동현금흐름,1,21,-26,34,19
투자활동현금흐름,-14,-33,-193,-36,48
재무활동현금흐름,36,-11,180,1,-48
CAPEX,2,34,171,18,3
FCF,-1,-13,-197,16,16
이자발생부채,135,140,238,247,205
영업이익률,7.63,7.69,2.12,0.19,1.06
순이익률,4.75,6.11,3.85,0.81,9.30
ROE(%),7.16,,4.49,0.77,10.12
ROA(%),4.24,,2.57,0.44,5.91
부채비율,76.00,75.52,74.30,75.59,67.36
자본유보율,"1,362.90",921.67,939.16,937.40,"1,040.99"
EPS(원),344,475,235,40,554
PER(배),,,27.54,114.60,9.59
BPS(원),"4,876","5,128","5,213","5,206","5,739"
PBR(배),0.00,0.00,1.24,0.88,0.93
현금DPS(원),168,170,70,40,180
현금배당수익률,,,1.08,0.87,3.39
현금배당성향(%),48.93,35.75,33.67,100.19,32.52
발행주식수(보통주),"6,559,920","6,559,920","8,324,420","8,324,420","8,324,420"
