주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,205,303,260,113,72
영업이익,58,104,72,5,-25
영업이익(발표기준),58,104,72,5,-25
세전계속사업이익,55,102,76,15,-46
당기순이익,48,87,56,16,-43
  당기순이익(지배),48,87,56,16,-43
  당기순이익(비지배),,,,,
자산총계,286,369,783,756,711
부채총계,157,154,57,20,18
자본총계,129,215,727,736,693
  자본총계(지배),129,215,727,736,693
  자본총계(비지배),,,,,
자본금,10,40,51,51,101
영업활동현금흐름,37,67,81,60,14
투자활동현금흐름,-61,-21,-428,-40,-32
재무활동현금흐름,26,0,358,-28,-5
CAPEX,60,19,32,29,16
FCF,-23,48,48,31,-2
이자발생부채,127,128,33,10,5
영업이익률,28.18,34.40,27.88,4.45,-34.74
순이익률,23.40,28.73,21.57,14.48,-59.41
ROE(%),44.97,50.59,11.89,2.24,-5.96
ROA(%),19.68,26.61,9.72,2.13,-5.81
부채비율,121.48,71.31,7.79,2.66,2.58
자본유보율,"1,191.37",509.40,"1,392.00","1,411.28",613.18
EPS(원),300,544,304,80,-210
PER(배),,,20.82,99.92,N/A
BPS(원),807,"1,327","3,554","3,635","3,422"
PBR(배),0.00,0.00,1.78,2.21,1.88
현금DPS(원),31,50,50,,
현금배당수익률,,,0.79,,
현금배당성향(%),10.42,9.42,8.88,0.00,
발행주식수(보통주),"16,000,000","16,040,000","20,256,888","20,256,888","20,256,888"
