주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,300,428,457,454,402
영업이익,27,9,71,44,8
영업이익(발표기준),27,9,71,44,8
세전계속사업이익,1,-2,26,8,18
당기순이익,1,-7,7,-14,14
  당기순이익(지배),1,-7,7,-14,14
  당기순이익(비지배),,,,,
자산총계,"1,037",997,"1,026","1,127","1,112"
부채총계,217,182,204,328,301
자본총계,821,815,823,799,811
  자본총계(지배),821,815,823,799,811
  자본총계(비지배),,,,,
자본금,75,75,75,75,75
영업활동현금흐름,71,-11,71,155,-15
투자활동현금흐름,-81,68,-51,-5,0
재무활동현금흐름,12,-3,-1,-10,-5
CAPEX,4,2,51,1,1
FCF,67,-13,21,154,-16
이자발생부채,0,0,2,3,2
영업이익률,9.06,2.06,15.60,9.64,2.10
순이익률,0.22,-1.55,1.56,-3.00,3.49
ROE(%),0.08,-0.81,0.87,-1.68,1.74
ROA(%),0.07,-0.65,0.71,-1.26,1.25
부채비율,26.40,22.34,24.78,41.11,37.09
자본유보율,"1,110.62","1,099.39","1,104.48","1,071.92","1,078.56"
EPS(원),4,-44,48,-91,93
PER(배),"1,954.73",N/A,147.90,N/A,155.91
BPS(원),"5,876","5,806","5,840","5,666","5,714"
PBR(배),1.45,1.11,1.20,1.40,2.54
현금DPS(원),0,0,70,70,70
현금배당수익률,0.00,0.00,1.00,0.88,0.48
현금배당성향(%),0.00,0.00,138.15,-72.50,53.17
발행주식수(보통주),"15,014,804","15,014,804","15,014,804","15,014,804","15,082,304"
