주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,900,981,"1,012",927,"1,005"
영업이익,6,-33,4,5,10
영업이익(발표기준),6,-33,4,5,10
세전계속사업이익,11,-41,-6,10,12
당기순이익,9,-40,-7,5,12
  당기순이익(지배),9,-40,-7,5,12
  당기순이익(비지배),,,,,
자산총계,620,529,630,713,753
부채총계,328,271,374,449,470
자본총계,293,258,256,264,283
  자본총계(지배),293,258,256,264,283
  자본총계(비지배),,,,,
자본금,77,79,79,79,81
영업활동현금흐름,-32,-26,80,70,111
투자활동현금흐름,-74,20,-15,-64,-60
재무활동현금흐름,85,-13,44,-60,20
CAPEX,7,1,2,6,1
FCF,-39,-27,77,65,110
이자발생부채,84,83,119,69,86
영업이익률,0.62,-3.40,0.44,0.59,1.03
순이익률,0.98,-4.08,-0.66,0.54,1.19
ROE(%),3.77,-14.52,-2.61,1.93,4.36
ROA(%),1.74,-6.96,-1.16,0.75,1.63
부채비율,112.01,104.90,146.19,170.06,166.10
자본유보율,279.95,223.37,210.82,218.26,238.86
EPS(원),66,-256,-43,32,74
PER(배),60.77,N/A,N/A,232.90,86.33
BPS(원),"1,906","1,642","1,623","1,666","1,755"
PBR(배),2.10,1.75,2.77,4.44,3.66
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,358,580","15,718,580","15,768,580","15,858,580","16,110,580"
