주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,89,49,258,466,737
영업이익,-48,-42,-54,-28,60
영업이익(발표기준),-48,-42,-54,-28,60
세전계속사업이익,-88,-71,-138,-87,51
당기순이익,-87,-73,-138,-87,51
  당기순이익(지배),-87,-73,-134,-82,47
  당기순이익(비지배),,,-4,-5,3
자산총계,543,407,573,435,370
부채총계,186,123,413,336,189
자본총계,357,284,160,99,180
  자본총계(지배),357,284,153,92,170
  자본총계(비지배),,,7,7,10
자본금,59,59,59,59,68
영업활동현금흐름,-18,-23,-70,-37,35
투자활동현금흐름,-7,88,30,98,94
재무활동현금흐름,25,-67,48,-61,-109
CAPEX,2,6,15,55,11
FCF,-20,-28,-85,-92,24
이자발생부채,166,116,317,226,116
영업이익률,-53.65,-85.01,-20.94,-6.11,8.17
순이익률,-96.96,-148.89,-53.41,-18.75,6.88
ROE(%),-21.78,-22.70,,-67.02,36.13
ROA(%),-15.05,-15.32,,-17.35,12.62
부채비율,52.03,43.20,258.46,338.62,104.79
자본유보율,562.45,439.67,218.65,82.59,176.25
EPS(원),-728,-612,"-1,126",-691,367
PER(배),N/A,N/A,N/A,N/A,7.24
BPS(원),"3,310","2,633","1,415",784,"1,260"
PBR(배),1.00,0.59,1.29,1.35,2.11
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,887,792","11,887,792","11,887,792","11,887,792","13,579,722"
