주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,24,31,40,853,728
영업이익,6,3,1,540,413
영업이익(발표기준),6,3,1,540,413
세전계속사업이익,6,3,-3,433,435
당기순이익,6,3,-3,320,344
  당기순이익(지배),6,3,-3,320,344
  당기순이익(비지배),,,,,
자산총계,47,111,134,838,949
부채총계,7,23,108,225,127
자본총계,40,88,26,613,822
  자본총계(지배),40,88,26,613,822
  자본총계(비지배),,,,,
자본금,17,19,16,24,48
영업활동현금흐름,7,2,-1,460,257
투자활동현금흐름,-9,-31,-32,-183,-231
재무활동현금흐름,,60,19,153,-151
CAPEX,7,29,31,87,51
FCF,0,-27,-32,373,206
이자발생부채,,15,58,68,29
영업이익률,25.76,9.34,3.75,63.35,56.68
순이익률,23.66,9.54,-7.26,37.57,47.22
ROE(%),15.54,4.67,-5.02,100.25,47.94
ROA(%),13.26,3.78,-2.34,65.94,38.49
부채비율,17.59,26.41,408.90,36.68,15.50
자본유보율,140.75,353.66,67.70,"2,437.84","1,771.40"
EPS(원),93,45,-41,"3,925","3,595"
PER(배),38.47,70.22,N/A,3.49,4.39
BPS(원),643,"1,252",383,"6,406","9,083"
PBR(배),5.59,2.52,9.48,2.14,1.74
현금DPS(원),0,0,0,350,400
현금배당수익률,0.00,0.00,0.00,2.56,2.53
현금배당성향(%),0.00,0.00,0.00,10.45,10.75
발행주식수(보통주),"5,793,786","6,293,786","6,293,786","9,567,180","9,567,180"
