주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,115","1,287","1,751","2,480","2,955","4,351","6,960"
영업이익,88,87,83,164,-145,307,667
영업이익(발표기준),88,87,83,164,-145,,
세전계속사업이익,66,51,47,86,-196,286,645
당기순이익,54,60,42,147,-183,243,548
  당기순이익(지배),63,80,42,149,-177,245,553
  당기순이익(비지배),-9,-19,,-1,-6,,
자산총계,"3,509","3,574","5,358","6,115","6,766","6,920","8,083"
부채총계,"1,718","1,577","3,250","3,890","4,083","4,700","5,372"
자본총계,"1,791","1,996","2,107","2,226","2,683","2,220","2,711"
  자본총계(지배),"1,736","1,955","2,107","2,226","2,677","2,220","2,711"
  자본총계(비지배),55,,,0,6,,
자본금,121,131,135,135,158,158,158
영업활동현금흐름,-187,182,"1,393",124,"-1,194",461,646
투자활동현금흐름,-213,-265,-632,-645,200,-265,-405
재무활동현금흐름,396,60,313,151,"1,120",464,513
CAPEX,60,169,671,512,224,210,205
FCF,-247,13,722,-388,"-1,418",251,441
이자발생부채,"1,302","1,200","1,273","1,449","1,946",,
영업이익률,7.92,6.75,4.71,6.62,-4.91,7.06,9.58
순이익률,4.84,4.69,2.43,5.94,-6.18,5.59,7.87
ROE(%),4.08,4.31,2.09,6.86,-7.21,10.01,22.43
ROA(%),1.83,1.70,0.95,2.57,-2.83,3.55,7.31
부채비율,95.90,79.01,154.23,174.75,152.17,211.71,198.16
자본유보율,"1,177.75","1,256.43","1,331.95","1,497.60","1,580.79",,
EPS(원),246,295,151,520,-570,724,"1,597"
PER(배),63.62,50.98,99.32,37.11,N/A,40.56,18.38
BPS(원),"6,837","7,159","7,473","7,889","8,411","6,502","7,940"
PBR(배),2.29,2.10,2.01,2.45,3.42,4.51,3.70
현금DPS(원),47,47,94,94,49,94,94
현금배당수익률,0.30,0.31,0.63,0.49,0.17,0.32,0.32
현금배당성향(%),18.92,16.18,62.59,17.90,-8.81,13.30,5.89
발행주식수(보통주),"25,752,123","27,664,061","28,544,957","28,685,099","32,311,764",,
