주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,164,163,160,230,250
영업이익,44,26,28,30,23
영업이익(발표기준),44,26,28,30,23
세전계속사업이익,49,34,34,28,12
당기순이익,42,31,29,20,4
  당기순이익(지배),42,31,29,28,18
  당기순이익(비지배),,,,-8,-14
자산총계,714,748,795,931,961
부채총계,13,21,34,119,139
자본총계,701,727,761,812,822
  자본총계(지배),701,727,761,785,797
  자본총계(비지배),,,,27,25
자본금,34,34,34,34,34
영업활동현금흐름,44,52,54,36,5
투자활동현금흐름,-43,-49,-40,-30,7
재무활동현금흐름,-8,-9,-5,15,22
CAPEX,6,20,4,93,27
FCF,38,31,51,-57,-22
이자발생부채,0,0,1,60,80
영업이익률,26.64,16.29,17.44,12.90,9.15
순이익률,25.70,19.18,18.14,8.81,1.51
ROE(%),6.12,4.37,3.90,,2.24
ROA(%),5.98,4.27,3.76,,0.40
부채비율,1.80,2.90,4.46,14.63,16.95
자본유보율,"1,966.54","2,033.97","2,104.98","2,172.76","2,202.34"
EPS(원),624,462,430,418,263
PER(배),14.66,14.71,17.32,31.58,70.08
BPS(원),"10,386","10,766","11,277","11,630","11,803"
PBR(배),0.88,0.63,0.66,1.14,1.56
현금DPS(원),125,75,75,125,125
현금배당수익률,1.37,1.10,1.01,0.95,0.68
현금배당성향(%),20.03,16.23,17.44,29.90,47.61
발행주식수(보통주),"6,751,000","6,751,000","6,751,000","6,751,000","6,751,000"
