주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,823","3,033","3,470","3,391","3,965","4,276","4,566","4,680"
영업이익,110,98,83,99,201,228,299,310
영업이익(발표기준),110,98,83,99,201,,,
세전계속사업이익,107,98,63,43,175,198,271,290
당기순이익,99,92,40,34,170,155,213,220
  당기순이익(지배),99,90,49,26,89,112,142,200
  당기순이익(비지배),,2,-8,8,81,,,
자산총계,"1,511","3,150","3,509","3,590","3,916","4,150","4,389","4,510"
부채총계,376,"1,434","1,785","1,864","1,952","2,155","2,245","1,980"
자본총계,"1,135","1,716","1,724","1,726","1,963","1,994","2,144","2,530"
  자본총계(지배),"1,135","1,250","1,277","1,298","1,422","1,483","1,608","1,930"
  자본총계(비지배),,,447,428,541,,,
자본금,27,53,53,53,53,52,52,50
영업활동현금흐름,104,108,194,119,79,236,290,290
투자활동현금흐름,-222,-971,-343,-49,-85,-50,42,0
재무활동현금흐름,,611,172,103,-18,84,34,0
CAPEX,211,429,307,142,90,92,4,0
FCF,-107,-321,-114,-23,-11,188,291,
이자발생부채,21,800,"1,122","1,236","1,279",,,
영업이익률,6.03,3.24,2.38,2.92,5.07,5.33,6.55,6.62
순이익률,5.45,3.02,1.16,1.01,4.28,3.62,4.66,4.70
ROE(%),9.10,7.53,3.85,2.04,6.55,7.71,9.19,11.30
ROA(%),6.75,3.93,1.21,0.96,4.52,3.84,4.99,4.94
부채비율,33.13,83.57,103.53,108.02,99.44,108.05,104.71,78.26
자본유보율,"4,179.77","2,259.66","2,289.72","2,348.00","2,498.70",,,
EPS(원),930,840,456,245,834,"1,049","1,330","1,873"
PER(배),34.94,38.69,24.91,49.70,15.53,12.40,9.78,6.94
BPS(원),"10,624","11,702","11,958","12,150","13,319","13,886","15,061","18,071"
PBR(배),3.06,2.78,0.95,1.00,0.97,0.94,0.86,0.72
현금DPS(원),100,100,,,,0,0,0
현금배당수익률,0.31,0.31,,,,0.00,0.00,0.00
현금배당성향(%),10.75,11.90,0.00,0.00,,,,
발행주식수(보통주),"10,680,000","10,680,000","10,680,000","10,680,000","10,680,000",,,
