주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,0,0,2,5
영업이익,-25,-59,-138,-266,-361
영업이익(발표기준),-25,-59,-138,-266,-361
세전계속사업이익,-25,-58,-847,-312,-360
당기순이익,-25,-58,-847,-312,-360
  당기순이익(지배),-25,-58,-847,-307,-341
  당기순이익(비지배),,,,-5,-19
자산총계,29,128,352,"1,209","1,372"
부채총계,3,10,745,58,238
자본총계,26,118,-393,"1,151","1,134"
  자본총계(지배),26,118,-393,"1,117",927
  자본총계(비지배),,,,34,207
자본금,18,50,45,69,70
영업활동현금흐름,-23,-51,-100,-182,-262
투자활동현금흐름,-7,-55,-46,22,-598
재무활동현금흐름,0,150,302,986,176
CAPEX,7,4,7,15,29
FCF,-29,-55,-107,-197,-290
이자발생부채,0,0,87,18,68
영업이익률,,"-141,188.02","-30,155.63","-17,683.84","-7,997.20"
순이익률,,"-139,892.92","-184,731.34","-20,710.44","-7,978.71"
ROE(%),-65.03,-80.66,,-84.89,-33.38
ROA(%),-62.75,-74.39,,-39.97,-27.90
부채비율,9.89,8.11,-189.51,5.04,21.00
자본유보율,49.76,134.78,"-1,042.14","1,380.09","1,023.58"
EPS(원),-362,-637,"-8,172","-2,688","-2,439"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),374,"1,177","-3,619","8,060","6,593"
PBR(배),0.00,10.45,N/A,9.86,5.26
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"5,232,000","7,703,997","8,226,934","13,304,904","14,066,271"
