주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,341,372,409,429,457
영업이익,134,153,167,169,182
영업이익(발표기준),134,153,167,169,182
세전계속사업이익,140,161,176,173,185
당기순이익,109,125,137,131,139
  당기순이익(지배),109,125,137,131,139
  당기순이익(비지배),,,,,
자산총계,494,566,626,675,741
부채총계,74,85,89,96,107
자본총계,420,481,537,579,633
  자본총계(지배),420,481,537,579,633
  자본총계(비지배),,,,,
자본금,61,61,61,61,61
영업활동현금흐름,119,134,142,171,161
투자활동현금흐름,-76,-68,-40,395,1
재무활동현금흐름,-64,-64,-83,-92,-87
CAPEX,2,4,22,2,0
FCF,117,130,120,169,161
이자발생부채,0,0,2,3,2
영업이익률,39.45,41.13,40.87,39.33,39.87
순이익률,32.02,33.63,33.36,30.42,30.47
ROE(%),27.45,27.80,26.81,23.40,22.98
ROA(%),23.20,23.63,22.90,20.06,19.68
부채비율,17.67,17.61,16.61,16.67,16.92
자본유보율,608.95,708.87,799.68,867.01,956.42
EPS(원),905,"1,040","1,134","1,084","1,156"
PER(배),16.07,15.10,16.37,21.69,17.04
BPS(원),"3,486","3,996","4,460","4,804","5,260"
PBR(배),4.17,3.93,4.16,4.89,3.75
현금DPS(원),530,670,740,700,"2,720"
현금배당수익률,3.64,4.27,3.99,2.98,13.81
현금배당성향(%),58.53,64.43,65.28,64.60,235.23
발행주식수(보통주),"12,043,600","12,043,600","12,043,600","12,043,600","12,043,600"
