주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,296","1,706","1,223","1,463","1,638"
영업이익,112,45,-21,95,366
영업이익(발표기준),112,45,-21,95,366
세전계속사업이익,48,-15,-99,10,380
당기순이익,41,3,-62,-3,279
  당기순이익(지배),41,3,-62,-3,279
  당기순이익(비지배),,,,,
자산총계,"2,464","2,556","2,412","2,124","2,248"
부채총계,"1,263","1,361","1,292","1,070",942
자본총계,"1,201","1,195","1,120","1,054","1,305"
  자본총계(지배),"1,201","1,195","1,120","1,054","1,305"
  자본총계(비지배),,,,,
자본금,67,67,67,67,128
영업활동현금흐름,-19,124,80,457,388
투자활동현금흐름,-192,-223,36,-130,-95
재무활동현금흐름,290,54,-48,-346,-231
CAPEX,171,179,27,61,112
FCF,-191,-55,53,396,276
이자발생부채,989,"1,054","1,029",743,536
영업이익률,8.62,2.63,-1.75,6.51,22.32
순이익률,3.19,0.16,-5.06,-0.19,17.04
ROE(%),3.95,0.22,,-0.25,23.66
ROA(%),1.79,0.11,,-0.12,12.77
부채비율,105.12,113.85,115.37,101.60,72.18
자본유보율,"1,690.86","1,683.16","1,585.65","1,571.73",991.78
EPS(원),194,11,-243,-11,"1,094"
PER(배),34.14,372.44,N/A,N/A,9.64
BPS(원),"4,710","4,687","4,425","4,358","5,454"
PBR(배),1.40,0.84,0.76,1.63,1.93
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"25,503,174","25,503,174","25,503,174","25,503,174","25,503,174"
