주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,335,284,372,320,533
영업이익,27,7,16,-26,11
영업이익(발표기준),27,7,16,-26,11
세전계속사업이익,18,-9,9,-64,22
당기순이익,18,-9,9,-64,22
  당기순이익(지배),18,-9,9,-64,22
  당기순이익(비지배),,,,,
자산총계,422,451,675,710,812
부채총계,138,141,264,346,349
자본총계,285,311,411,364,463
  자본총계(지배),285,311,411,364,463
  자본총계(비지배),,,,,
자본금,206,217,262,262,291
영업활동현금흐름,33,8,3,31,38
투자활동현금흐름,-29,-18,-110,-79,-48
재무활동현금흐름,-25,13,135,80,32
CAPEX,61,10,100,75,71
FCF,-28,-3,-97,-44,-34
이자발생부채,87,86,178,226,238
영업이익률,8.14,2.58,4.28,-8.00,1.97
순이익률,5.36,-3.34,2.47,-20.06,4.21
ROE(%),7.35,-3.18,2.55,-16.59,5.44
ROA(%),4.26,-2.17,1.63,-9.29,2.95
부채비율,48.30,45.24,64.16,95.11,75.45
자본유보율,43.50,45.56,57.38,37.94,57.54
EPS(원),56,-23,19,-123,41
PER(배),14.56,N/A,49.54,N/A,21.62
BPS(원),693,718,786,694,796
PBR(배),1.17,1.00,1.22,1.04,1.12
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"41,124,943","43,317,303","52,317,968","52,447,890","58,134,025"
