주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,671,618,546,577,584
영업이익,16,9,-13,5,23
영업이익(발표기준),16,9,-13,5,23
세전계속사업이익,21,12,63,25,25
당기순이익,14,12,54,23,21
  당기순이익(지배),14,12,54,23,21
  당기순이익(비지배),,,,,
자산총계,486,485,524,491,540
부채총계,165,154,142,96,93
자본총계,321,331,383,395,447
  자본총계(지배),321,331,383,395,447
  자본총계(비지배),,,,,
자본금,50,50,50,50,50
영업활동현금흐름,4,-16,45,45,15
투자활동현금흐름,17,-30,41,57,-32
재무활동현금흐름,-3,4,-79,-16,33
CAPEX,40,27,71,32,14
FCF,-36,-43,-25,13,1
이자발생부채,80,86,11,6,1
영업이익률,2.33,1.44,-2.46,0.87,3.93
순이익률,2.14,1.94,9.93,4.01,3.61
ROE(%),4.55,3.67,15.19,,5.00
ROA(%),2.87,2.46,10.74,,4.09
부채비율,51.27,46.57,37.01,24.24,20.80
자본유보율,546.61,565.85,669.25,710.78,805.05
EPS(원),144,120,542,231,211
PER(배),18.75,18.75,4.11,17.03,23.27
BPS(원),"3,420","3,523","4,073","4,444","4,757"
PBR(배),0.79,0.64,0.55,0.89,1.03
현금DPS(원),25,25,25,25,25
현금배당수익률,0.93,1.11,1.12,0.64,0.51
현금배당성향(%),16.37,19.63,4.33,9.63,11.15
발행주식수(보통주),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
