주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,681","1,999","2,444","3,010","3,146","3,745","4,115"
영업이익,22,46,28,147,211,329,420
영업이익(발표기준),22,46,28,147,211,,
세전계속사업이익,25,30,48,149,215,325,419
당기순이익,17,12,34,113,164,248,319
  당기순이익(지배),17,12,34,113,164,248,319
  당기순이익(비지배),,,,,,,
자산총계,645,"1,280","1,637","1,754","2,149","2,686","3,184"
부채총계,490,"1,171","1,499","1,503","1,734","2,023","2,202"
자본총계,155,109,138,251,415,663,982
  자본총계(지배),155,109,138,251,415,663,982
  자본총계(비지배),,,,,,,
자본금,22,22,22,22,22,22,22
영업활동현금흐름,44,57,109,77,-5,151,218
투자활동현금흐름,-92,-29,-3,-120,89,-120,-96
재무활동현금흐름,51,-27,-105,70,-71,11,7
CAPEX,3,7,14,6,13,,
FCF,41,49,95,71,-18,141,218
이자발생부채,100,75,98,227,276,,
영업이익률,1.28,2.31,1.15,4.87,6.72,8.79,10.21
순이익률,1.04,0.62,1.39,3.75,5.21,6.62,7.75
ROE(%),12.39,9.44,,58.03,49.26,46.02,38.78
ROA(%),3.04,1.29,,6.66,8.40,10.26,10.87
부채비율,316.55,"1,073.13","1,084.15",599.26,418.09,305.13,224.24
자본유보율,544.46,385.66,515.79,"1,017.01","1,746.68",,
EPS(원),389,277,757,"2,512","3,648","4,894","6,209"
PER(배),9.26,21.86,7.79,4.22,5.76,3.43,2.71
BPS(원),"3,445","2,428","3,076","5,582","9,230","12,904","19,113"
PBR(배),1.04,2.50,1.92,1.90,2.28,1.30,0.88
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"2,961,471","4,493,990","4,493,990","4,493,990","4,493,990",,
