주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,305,244,284,253,361
영업이익,45,-24,11,-30,29
영업이익(발표기준),45,-24,11,-30,29
세전계속사업이익,16,-42,0,-35,35
당기순이익,5,-39,2,-35,36
  당기순이익(지배),5,-39,2,-35,35
  당기순이익(비지배),,,,,2
자산총계,313,279,321,276,384
부채총계,108,106,94,53,100
자본총계,206,174,227,223,284
  자본총계(지배),206,174,227,223,266
  자본총계(비지배),,,,,18
자본금,36,38,41,45,48
영업활동현금흐름,-16,-39,19,45,58
투자활동현금흐름,-40,-21,-33,-23,13
재무활동현금흐름,106,,18,-25,-17
CAPEX,7,3,4,10,9
FCF,-23,-42,15,36,49
이자발생부채,93,94,78,37,20
영업이익률,14.85,-9.91,3.96,-11.77,8.05
순이익률,1.80,-15.90,0.54,-13.81,10.04
ROE(%),3.56,-20.42,0.76,-15.55,
ROA(%),2.50,-13.07,0.51,-11.71,
부채비율,52.31,60.87,41.45,23.84,35.10
자본유보율,467.75,361.43,460.56,418.22,519.70
EPS(원),15,-104,4,-85,73
PER(배),103.65,N/A,357.91,N/A,19.87
BPS(원),567,461,558,506,565
PBR(배),2.77,1.84,2.43,2.30,2.56
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"36,252,487","37,682,487","40,924,427","45,025,370","48,074,789"
