주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,334,337,351,436,503
영업이익,47,24,15,59,23
영업이익(발표기준),47,24,15,59,23
세전계속사업이익,45,27,17,53,39
당기순이익,38,22,16,44,32
  당기순이익(지배),38,22,16,44,32
  당기순이익(비지배),,,,,
자산총계,449,469,605,681,711
부채총계,54,51,168,199,196
자본총계,396,418,437,482,515
  자본총계(지배),396,418,437,482,515
  자본총계(비지배),,,,,
자본금,32,32,32,32,32
영업활동현금흐름,56,42,34,104,-3
투자활동현금흐름,1,-54,-106,-160,-41
재무활동현금흐름,,,119,-1,-1
CAPEX,39,56,71,116,67
FCF,17,-14,-37,-12,-71
이자발생부채,0,0,120,121,121
영업이익률,14.01,7.00,4.17,13.44,4.58
순이익률,11.27,6.44,4.60,10.16,6.27
ROE(%),10.02,5.34,3.77,9.63,6.33
ROA(%),8.88,4.73,3.00,6.88,4.53
부채비율,13.57,12.17,38.52,41.23,37.96
자본유보율,"1,152.94","1,225.24","1,282.90","1,427.83","1,531.67"
EPS(원),597,344,255,701,500
PER(배),10.45,11.86,21.45,21.41,41.83
BPS(원),"6,265","6,626","6,915","7,639","8,158"
PBR(배),1.00,0.62,0.79,1.96,2.56
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,314,290","6,314,290","6,314,290","6,314,290","6,314,290"
