주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,707,854,"1,436",982,"1,154"
영업이익,25,9,48,-38,-155
영업이익(발표기준),25,9,48,-38,-155
세전계속사업이익,7,7,21,-60,-172
당기순이익,6,6,12,-52,-175
  당기순이익(지배),6,6,12,-52,-167
  당기순이익(비지배),,,,,-8
자산총계,418,474,774,739,"1,024"
부채총계,209,249,546,485,709
자본총계,209,225,228,253,316
  자본총계(지배),209,225,228,253,315
  자본총계(비지배),,,,,0
자본금,52,52,52,18,30
영업활동현금흐름,-2,-14,29,7,-275
투자활동현금흐름,-18,0,-9,68,5
재무활동현금흐름,19,34,-31,-75,310
CAPEX,0,0,1,0,1
FCF,-2,-14,29,7,-276
이자발생부채,65,98,300,255,338
영업이익률,3.52,1.05,3.34,-3.87,-13.44
순이익률,0.85,0.70,0.82,-5.29,-15.15
ROE(%),3.89,2.74,5.20,-21.57,-58.69
ROA(%),1.61,1.33,1.56,-6.87,-19.84
부채비율,100.14,110.87,239.15,191.61,224.42
자본유보율,301.66,319.26,313.24,"1,418.00",957.53
EPS(원),51,30,60,-261,-754
PER(배),,,,N/A,N/A
BPS(원),"1,071","1,152","1,170","1,341","1,074"
PBR(배),,,,1.54,1.52
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"19,503,289","19,503,289","19,503,289","20,102,430","30,271,660"
