주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,233,322,341,473,643,850,"1,060"
영업이익,12,41,16,63,92,120,210
영업이익(발표기준),12,41,16,63,92,,
세전계속사업이익,11,30,8,18,83,113,200
당기순이익,10,26,13,20,74,105,160
  당기순이익(지배),10,26,18,20,73,,
  당기순이익(비지배),,,-5,1,1,,
자산총계,163,236,419,565,697,,
부채총계,101,158,321,460,398,,
자본총계,62,78,98,106,299,,
  자본총계(지배),62,78,92,106,298,,
  자본총계(비지배),,,6,0,1,,
자본금,1,1,22,43,49,,
영업활동현금흐름,5,24,4,44,85,,
투자활동현금흐름,-22,-55,-74,-149,-124,,
재무활동현금흐름,16,33,158,38,40,,
CAPEX,12,50,90,148,121,,
FCF,-6,-26,-86,-104,-37,,
이자발생부채,55,88,244,305,302,,
영업이익률,5.27,12.81,4.79,13.20,14.36,14.12,19.81
순이익률,4.41,8.06,3.77,4.25,11.52,12.35,15.09
ROE(%),,36.94,,19.77,36.38,,
ROA(%),,12.98,,4.09,11.73,,
부채비율,162.64,202.00,326.63,434.78,133.40,,
자본유보율,"6,116.65","7,729.41",335.38,208.96,499.53,,
EPS(원),"2,570","6,485",302,205,762,,
PER(배),,,,,,,
BPS(원),"15,542","19,574",966,"1,111","3,042",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),0,"3,750",0,0,,,
현금배당수익률,,,,,,,
현금배당성향(%),0.00,57.83,0.00,0.00,,,
발행주식수(보통주),"400,000","400,000","8,600,000","8,600,000","9,792,923",,
