주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,646,397,350,175,116
영업이익,73,25,9,-95,-74
영업이익(발표기준),73,25,9,-95,-74
세전계속사업이익,70,21,7,-90,-68
당기순이익,59,17,5,-99,-71
  당기순이익(지배),59,17,5,-99,-71
  당기순이익(비지배),,,,,
자산총계,451,656,663,598,503
부채총계,311,279,280,322,297
자본총계,140,377,382,276,206
  자본총계(지배),140,377,382,276,206
  자본총계(비지배),,,,,
자본금,25,32,32,32,32
영업활동현금흐름,85,-132,15,-114,38
투자활동현금흐름,-156,-68,-19,19,3
재무활동현금흐름,68,231,4,89,-42
CAPEX,195,67,1,3,0
FCF,-111,-199,14,-117,38
이자발생부채,170,142,150,229,202
영업이익률,11.27,6.27,2.57,-54.40,-64.25
순이익률,9.08,4.38,1.44,-56.68,-61.33
ROE(%),59.74,6.73,1.33,-30.15,-29.44
ROA(%),16.61,3.14,0.77,-15.73,-12.88
부채비율,223.09,73.88,73.22,116.85,144.38
자본유보율,460.56,"1,086.33","1,101.94",812.26,594.98
EPS(원),"1,185",320,79,"-1,547","-1,100"
PER(배),,54.99,214.72,N/A,N/A
BPS(원),"2,791","5,948","6,028","4,431","3,306"
PBR(배),0.00,2.96,2.82,2.08,2.79
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,000,000","6,370,000","6,370,000","6,440,809","6,440,809"
