주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,245,257,290,291,353
영업이익,-41,-34,-15,17,20
영업이익(발표기준),-41,-34,-15,17,20
세전계속사업이익,-76,-31,-12,4,27
당기순이익,-83,-31,-12,4,27
  당기순이익(지배),-83,-31,-12,4,27
  당기순이익(비지배),,,,,
자산총계,565,535,498,465,505
부채총계,233,235,211,173,188
자본총계,332,300,287,292,318
  자본총계(지배),332,300,287,292,318
  자본총계(비지배),,,,,
자본금,35,35,35,35,35
영업활동현금흐름,-3,-1,15,40,44
투자활동현금흐름,-77,-5,12,-16,-47
재무활동현금흐름,-26,-5,-20,-41,9
CAPEX,3,6,9,22,47
FCF,-6,-7,7,19,-3
이자발생부채,209,204,184,143,154
영업이익률,-16.67,-13.31,-5.32,5.97,5.67
순이익률,-33.86,-12.18,-4.30,1.37,7.68
ROE(%),-22.34,-9.91,-4.25,1.38,8.90
ROA(%),-13.19,-5.69,-2.41,0.83,5.59
부채비율,70.39,78.12,73.58,59.23,59.06
자본유보율,841.30,751.35,730.87,726.61,799.62
EPS(원),"-1,174",-443,-176,57,384
PER(배),N/A,N/A,N/A,77.76,19.32
BPS(원),"4,723","4,278","4,089","4,156","4,524"
PBR(배),1.59,1.53,1.33,1.06,1.64
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,070,860","7,070,860","7,070,860","7,070,860",
