주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,5,1,0,537,461
영업이익,-41,-60,-64,257,-258
영업이익(발표기준),-41,-60,-64,257,-258
세전계속사업이익,-39,-58,-80,195,-317
당기순이익,-39,-58,-80,195,-317
  당기순이익(지배),-39,-58,-80,195,-317
  당기순이익(비지배),,,,,0
자산총계,159,106,157,436,793
부채총계,4,9,99,68,627
자본총계,154,97,58,367,166
  자본총계(지배),154,97,58,367,145
  자본총계(비지배),,,,,21
자본금,45,45,48,50,52
영업활동현금흐름,-36,-59,-51,-23,-162
투자활동현금흐름,-76,94,-92,52,-92
재무활동현금흐름,108,1,111,-2,591
CAPEX,10,21,12,28,85
FCF,-47,-80,-63,-51,-247
이자발생부채,0,0,60,34,339
영업이익률,-807.47,"-4,670.22","-17,906.50",47.83,-55.84
순이익률,-764.45,"-4,489.80","-22,244.14",36.34,-68.63
ROE(%),-33.79,-45.84,-102.36,91.65,
ROA(%),-31.23,-43.56,-60.42,65.79,
부채비율,2.83,9.02,170.45,18.53,376.86
자본유보율,243.34,114.87,20.37,626.60,172.29
EPS(원),-443,-646,-881,"2,025","-3,106"
PER(배),N/A,N/A,N/A,18.05,N/A
BPS(원),"1,730","1,090",611,"3,646","1,391"
PBR(배),10.03,8.81,13.19,10.02,25.56
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,921,164","8,941,164","9,528,497","10,078,897","10,369,397"
