주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,59,39,78,47,61,174,323,438
영업이익,-2,-81,-59,-56,-33,18,81,136
영업이익(발표기준),-2,-81,-59,-56,-33,,,
세전계속사업이익,-5,-109,-98,-89,-35,17,80,136
당기순이익,-5,-109,-98,-89,-35,17,80,136
  당기순이익(지배),-5,-109,-98,-89,-35,17,80,136
  당기순이익(비지배),,,,,,,,
자산총계,107,194,151,74,58,,,
부채총계,70,21,372,92,60,,,
자본총계,37,173,-221,-18,-2,,,
  자본총계(지배),37,173,-221,-18,-2,,,
  자본총계(비지배),,,,,,,,
자본금,16,23,16,44,49,,,
영업활동현금흐름,8,-68,-43,-12,-9,,,
투자활동현금흐름,-21,-115,58,4,-4,,,
재무활동현금흐름,25,190,-15,-3,12,,,
CAPEX,6,26,2,1,0,,,
FCF,1,-94,-45,-13,-9,,,
이자발생부채,54,0,352,64,28,,,
영업이익률,-2.63,-206.26,-76.42,-119.25,-53.22,10.35,25.08,31.05
순이익률,-8.26,-276.61,-126.00,-188.11,-57.47,9.77,24.77,31.05
ROE(%),,-103.49,,74.13,363.06,,,
ROA(%),,-72.26,,-78.88,-53.14,,,
부채비율,188.31,12.11,-168.12,-514.94,"-3,926.69",,,
자본유보율,110.69,634.00,"-1,611.67",-155.94,-125.90,,,
EPS(원),-76,"-1,365","-1,045",-945,-360,143,663,"1,127"
PER(배),,,,,,86.95,18.71,11.01
BPS(원),575,"1,846","-2,361",-183,-16,,,
PBR(배),0.00,0.00,0.00,0.00,0.00,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"5,591,140","6,392,020","6,392,020","8,892,722","9,778,920",,,
