주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,109,119,130,148,177
영업이익,19,17,15,39,53
영업이익(발표기준),19,17,15,39,53
세전계속사업이익,19,17,16,42,57
당기순이익,18,16,15,37,49
  당기순이익(지배),18,16,15,37,49
  당기순이익(비지배),,,,,
자산총계,174,199,210,281,448
부채총계,18,26,22,42,44
자본총계,156,173,188,239,404
  자본총계(지배),156,173,188,239,404
  자본총계(비지배),,,,,
자본금,17,17,17,17,21
영업활동현금흐름,15,31,16,38,56
투자활동현금흐름,-7,-32,-16,-33,-151
재무활동현금흐름,,,,-8,113
CAPEX,2,1,1,0,2
FCF,13,30,15,37,54
이자발생부채,0,0,0,2,4
영업이익률,17.34,14.45,11.80,25.99,30.01
순이익률,16.90,13.75,11.66,25.18,27.92
ROE(%),12.45,9.93,8.37,17.49,15.36
ROA(%),11.06,8.77,7.39,15.22,13.55
부채비율,11.43,14.91,11.67,17.49,10.88
자본유보율,847.86,946.84,"1,038.23","1,226.09","1,860.41"
EPS(원),279,249,230,561,652
PER(배),,,,,22.75
BPS(원),"2,376","2,630","2,858","3,443","4,945"
PBR(배),0.00,0.00,0.00,0.00,5.96
현금DPS(원),0,0,151,0,60
현금배당수익률,,,,,0.41
현금배당성향(%),0.00,0.00,65.65,0.00,9.98
발행주식수(보통주),"6,580,080","6,580,080","6,580,080","6,938,365","8,178,426"
