주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,809,"1,073","1,591","2,228","2,788","3,592","4,640"
영업이익,99,113,163,270,300,423,600
영업이익(발표기준),99,113,163,270,300,,
세전계속사업이익,96,115,170,268,306,430,610
당기순이익,80,92,145,250,263,363,510
  당기순이익(지배),81,95,147,251,264,360,510
  당기순이익(비지배),-2,-3,-2,-1,-1,,
자산총계,718,"1,063","1,544","2,155","2,546","2,530","3,290"
부채총계,195,272,625,995,"1,147",720,720
자본총계,523,791,919,"1,160","1,400","1,810","2,570"
  자본총계(지배),519,789,918,"1,156","1,397","1,740","2,220"
  자본총계(비지배),5,,1,4,3,,
자본금,38,45,45,45,45,50,50
영업활동현금흐름,106,74,-13,163,241,120,390
투자활동현금흐름,-53,-122,-224,-460,-341,-80,-300
재무활동현금흐름,-9,186,176,326,-29,-20,-40
CAPEX,49,90,209,404,369,,
FCF,58,-15,-222,-242,-127,320,340
이자발생부채,0,0,217,553,548,,
영업이익률,12.24,10.56,10.25,12.11,10.76,11.78,12.93
순이익률,9.84,8.53,9.12,11.22,9.44,10.11,10.99
ROE(%),16.80,14.51,17.23,24.25,20.68,22.95,25.76
ROA(%),12.05,10.28,11.13,13.52,11.19,14.30,17.53
부채비율,37.18,34.44,68.02,85.79,81.93,39.78,28.02
자본유보율,"1,234.15","1,654.63","1,939.60","2,461.01","2,995.42",,
EPS(원),"1,061","1,178","1,634","2,793","2,932","3,998","5,664"
PER(배),,13.46,12.30,13.95,13.11,9.72,6.86
BPS(원),"6,783","9,926","11,544","14,540","17,566","21,884","27,921"
PBR(배),0.00,1.60,1.74,2.68,2.19,1.78,1.39
현금DPS(원),200,200,200,300,300,300,300
현금배당수익률,,1.26,1.00,0.77,0.78,0.77,0.77
현금배당성향(%),18.87,16.76,10.81,9.49,9.03,7.50,5.30
발행주식수(보통주),"7,647,940","9,003,740","9,003,740","9,003,740","9,003,740",,
