주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,913","7,679","6,549","7,214","10,370","14,317","15,597","17,089"
영업이익,757,910,626,340,711,"1,313","1,457","1,647"
영업이익(발표기준),757,910,626,340,711,,,
세전계속사업이익,587,"1,022",665,339,"1,044","1,371","1,516","1,681"
당기순이익,464,839,566,259,817,"1,084","1,216","1,395"
  당기순이익(지배),464,839,566,259,817,"1,084","1,198","1,350"
  당기순이익(비지배),,,,,,,,
자산총계,"5,198","4,698","4,779","5,611","7,934","9,337","10,668","12,236"
부채총계,"3,670","2,818","1,985","2,441","3,854","4,272","4,428","4,618"
자본총계,"1,528","1,879","2,795","3,170","4,080","5,066","6,240","7,618"
  자본총계(지배),"1,528","1,879","2,795","3,170","4,080","5,064","6,230","7,618"
  자본총계(비지배),,,,,,,,
자본금,156,157,163,167,169,169,169,169
영업활동현금흐름,590,"1,615",707,202,331,"1,159","1,353","1,672"
투자활동현금흐름,-378,-660,-585,-395,-353,-711,-507,-500
재무활동현금흐름,531,"-1,106",-195,245,363,0,-110,-98
CAPEX,685,673,563,567,412,494,494,464
FCF,-95,942,144,-365,-81,551,"1,068","1,174"
이자발생부채,"1,696","1,134",862,"1,010","1,489",,,
영업이익률,10.95,11.86,9.55,4.72,6.86,9.17,9.35,9.63
순이익률,6.71,10.93,8.64,3.59,7.88,7.57,7.80,8.16
ROE(%),35.84,49.27,24.22,8.69,22.55,23.72,21.22,19.49
ROA(%),11.17,16.96,11.95,4.99,12.07,12.56,12.16,12.18
부채비율,240.28,149.99,71.03,77.02,94.47,84.33,70.97,60.61
자본유보율,848.30,"1,390.19","1,881.10","2,092.08","2,518.24",,,
EPS(원),"1,483","2,682","1,770",782,"2,428","3,187","3,513","3,957"
PER(배),18.41,6.26,12.40,28.08,9.55,8.35,7.57,6.72
BPS(원),"4,885","6,526","9,286","10,263","13,066","16,067","19,767","24,173"
PBR(배),5.59,2.57,2.36,2.14,1.78,1.66,1.35,1.10
현금DPS(원),0,0,0,250,250,250,267,362
현금배당수익률,0.00,0.00,0.00,1.14,1.08,0.94,1.00,1.36
현금배당성향(%),0.00,0.00,0.00,29.81,9.55,7.86,7.59,9.16
발행주식수(보통주),"31,269,776","31,379,776","32,680,468","33,472,688","33,810,072",,,
