주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"1,415","1,504","1,703","2,013","2,802","3,280","3,817","4,601"
영업이익,492,575,641,779,"1,171","1,364","1,574","2,014"
영업이익(발표기준),492,575,641,779,"1,171",,,
세전계속사업이익,519,631,710,736,"1,389","1,533","1,743","2,234"
당기순이익,404,486,528,554,"1,038","1,156","1,316","1,711"
  당기순이익(지배),404,486,528,554,"1,038","1,156","1,316","1,711"
  당기순이익(비지배),,,,,,,,
자산총계,"2,465","2,826","3,257","3,615","4,664","5,378","6,306","7,698"
부채총계,185,198,255,242,487,449,499,706
자본총계,"2,279","2,628","3,002","3,373","4,177","4,929","5,807","6,992"
  자본총계(지배),"2,279","2,628","3,002","3,373","4,177","4,929","5,807","6,992"
  자본총계(비지배),,,,,,,,
자본금,76,76,76,76,76,77,77,76
영업활동현금흐름,351,577,454,998,"1,306","1,262","1,439","1,792"
투자활동현금흐름,-100,-584,-407,-77,"-1,317",-576,-711,-774
재무활동현금흐름,-136,-151,-168,-183,-229,-350,-409,-546
CAPEX,76,173,155,217,451,294,309,400
FCF,275,404,298,781,855,908,"1,071","1,699"
이자발생부채,0,0,3,2,3,,,
영업이익률,34.74,38.27,37.66,38.68,41.80,41.59,41.24,43.79
순이익률,28.52,32.35,31.00,27.51,37.05,35.25,34.47,37.19
ROE(%),18.82,19.82,18.75,17.37,27.50,25.39,24.51,26.74
ROA(%),17.43,18.39,17.36,16.12,25.08,23.03,22.52,24.44
부채비율,8.13,7.52,8.51,7.17,11.65,9.11,8.60,10.10
자본유보율,"2,956.60","3,397.27","3,869.62","4,357.24","5,411.70",,,
EPS(원),"2,648","3,191","3,463","3,633","6,810","7,585","8,633","11,225"
PER(배),21.71,14.74,18.57,37.16,29.12,22.65,19.90,15.30
BPS(원),"15,088","17,357","19,776","22,224","27,518","32,471","38,254","46,063"
PBR(배),3.81,2.71,3.25,6.07,7.21,5.29,4.49,3.73
현금DPS(원),"1,000","1,100","1,200","1,500","2,500","2,608","2,980","4,328"
현금배당수익률,1.74,2.34,1.87,1.11,1.26,1.52,1.73,2.52
현금배당성향(%),37.43,34.25,34.50,41.11,36.56,34.38,34.52,38.56
발행주식수(보통주),"15,242,370","15,242,370","15,242,370","15,242,370","15,242,370",,,
