주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,550,467,548,707,507,898,"1,065"
영업이익,-18,-63,-22,23,-158,87,114
영업이익(발표기준),-18,-63,-22,23,-158,,
세전계속사업이익,-33,-78,73,18,-173,86,105
당기순이익,-31,-79,66,8,-149,85,93
  당기순이익(지배),-31,-79,66,8,-149,85,93
  당기순이익(비지배),,,,,,,
자산총계,429,417,540,702,632,,
부채총계,164,210,293,404,428,,
자본총계,265,206,247,299,204,,
  자본총계(지배),265,206,247,299,204,,
  자본총계(비지배),,,,,,,
자본금,30,67,76,79,88,,
영업활동현금흐름,3,-42,-75,-93,-94,,
투자활동현금흐름,-43,-1,74,-17,-18,,
재무활동현금흐름,24,76,18,134,30,,
CAPEX,1,2,6,3,10,,
FCF,2,-45,-81,-95,-104,,
이자발생부채,85,143,198,289,316,,
영업이익률,-3.27,-13.45,-4.00,3.29,-31.18,9.69,10.70
순이익률,-5.68,-16.85,12.06,1.12,-29.35,9.46,8.73
ROE(%),-10.53,-33.36,29.12,2.91,-59.13,,
ROA(%),-7.29,-18.61,13.80,1.28,-22.29,,
부채비율,61.74,101.85,118.58,135.04,209.57,,
자본유보율,985.09,371.40,411.48,451.31,255.89,,
EPS(원),-211,-519,417,47,-849,484,529
PER(배),N/A,N/A,16.52,266.32,N/A,11.15,10.19
BPS(원),"1,853","1,410","1,668","1,924","1,255",,
PBR(배),3.85,3.69,4.13,6.45,7.00,,
현금DPS(원),8,17,46,18,20,,
현금배당수익률,0.11,0.32,0.67,0.15,0.23,,
현금배당성향(%),-3.53,-3.11,10.22,35.60,-2.19,,
발행주식수(보통주),"14,811,052","14,811,052","16,423,324","17,138,916","17,577,506",,
