주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,510,894,541,404,439
영업이익,-5,81,-207,-59,-77
영업이익(발표기준),-5,81,-207,-59,-77
세전계속사업이익,-7,89,-217,-98,-84
당기순이익,-3,91,-187,-148,-84
  당기순이익(지배),-3,91,-186,-129,-83
  당기순이익(비지배),,,-1,-19,0
자산총계,527,597,543,536,505
부채총계,67,61,202,332,331
자본총계,459,536,341,204,175
  자본총계(지배),459,536,341,224,195
  자본총계(비지배),,,0,-20,-20
자본금,50,50,50,50,111
영업활동현금흐름,-82,-48,-18,-105,45
투자활동현금흐름,-162,103,-75,-76,-53
재무활동현금흐름,187,5,83,140,18
CAPEX,17,39,23,38,4
FCF,-99,-88,-41,-143,40
이자발생부채,0,5,119,249,238
영업이익률,-1.04,9.03,-38.18,-14.56,-17.58
순이익률,-0.63,10.21,-34.55,-36.64,-19.05
ROE(%),-0.93,18.34,,-45.48,-39.72
ROA(%),-0.76,16.25,,-27.45,-16.07
부채비율,14.64,11.31,59.12,162.17,189.23
자본유보율,866.16,"1,019.28",630.17,373.59,84.45
EPS(원),-18,456,-929,-643,-391
PER(배),N/A,34.52,N/A,N/A,N/A
BPS(원),"2,313","2,698","1,719","1,128",884
PBR(배),2.15,2.92,2.14,1.90,1.66
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"20,000,000","20,000,000","20,000,000","20,000,000","22,178,848"
