주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,425","1,336",950,713,925
영업이익,5,14,2,44,206
영업이익(발표기준),5,14,2,44,206
세전계속사업이익,-9,-5,-29,31,188
당기순이익,-8,-6,-34,9,158
  당기순이익(지배),-8,-6,-34,-6,150
  당기순이익(비지배),,,,15,8
자산총계,802,815,594,705,"1,017"
부채총계,460,454,265,281,374
자본총계,342,361,329,424,643
  자본총계(지배),342,361,329,368,562
  자본총계(비지배),,,,56,81
자본금,155,164,169,180,185
영업활동현금흐름,144,-172,368,-72,179
투자활동현금흐름,-56,-84,218,-153,-228
재무활동현금흐름,74,82,-216,106,160
CAPEX,3,2,4,11,71
FCF,142,-174,364,-83,108
이자발생부채,147,217,2,25,148
영업이익률,0.32,1.04,0.26,6.14,22.24
순이익률,-0.55,-0.43,-3.55,1.27,17.08
ROE(%),-2.35,-1.64,-9.79,,32.32
ROA(%),-1.06,-0.72,-4.80,,18.35
부채비율,134.42,125.84,80.47,66.32,58.24
자본유보율,121.66,119.94,95.66,108.12,194.37
EPS(원),-25,-18,-102,-18,418
PER(배),N/A,N/A,N/A,N/A,5.85
BPS(원),"1,107","1,097",975,"1,024","1,522"
PBR(배),1.59,1.13,2.47,1.95,1.61
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"30,780,260","32,729,359","33,575,801","35,775,801","36,797,734"
