주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,302,465,356,443,544
영업이익,-47,7,-39,17,31
영업이익(발표기준),-47,7,-39,17,31
세전계속사업이익,-49,10,-34,15,27
당기순이익,-36,21,-32,9,28
  당기순이익(지배),-36,21,-32,9,28
  당기순이익(비지배),,,,,
자산총계,519,561,423,426,591
부채총계,88,167,94,89,194
자본총계,431,394,329,336,398
  자본총계(지배),431,394,329,336,398
  자본총계(비지배),,,,,
자본금,62,62,62,62,62
영업활동현금흐름,-29,42,-20,45,107
투자활동현금흐름,-131,-9,-33,-18,-56
재무활동현금흐름,-21,-6,-18,-24,-18
CAPEX,0,6,2,2,3
FCF,-30,36,-22,43,104
이자발생부채,0,0,20,16,10
영업이익률,-15.71,1.57,-11.05,3.87,5.77
순이익률,-12.04,4.44,-8.92,1.96,5.19
ROE(%),-7.89,5.00,-8.77,2.60,7.68
ROA(%),-6.35,3.82,-6.45,2.04,5.54
부채비율,20.46,42.28,28.47,26.58,48.65
자본유보율,597.58,618.28,547.53,548.83,575.85
EPS(원),-304,173,-266,72,236
PER(배),N/A,17.16,N/A,51.80,23.95
BPS(원),"3,605","3,300","2,755","2,922","3,458"
PBR(배),1.67,0.90,1.11,1.29,1.63
현금DPS(원),100,100,100,100,120
현금배당수익률,1.66,3.37,3.28,2.66,2.12
현금배당성향(%),-21.62,57.87,-24.77,132.80,48.97
발행주식수(보통주),"11,952,500","11,952,500","11,952,500","11,952,500","11,952,500"
