주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,376,334,402,405,446
영업이익,-6,-52,33,40,38
영업이익(발표기준),-6,-52,33,40,38
세전계속사업이익,-107,-295,19,21,21
당기순이익,-79,-298,25,16,8
  당기순이익(지배),-79,-298,25,16,8
  당기순이익(비지배),,,,,
자산총계,"1,003",643,628,961,"1,189"
부채총계,465,402,328,497,623
자본총계,538,241,299,464,566
  자본총계(지배),538,241,299,464,566
  자본총계(비지배),,,,,
자본금,50,50,53,58,59
영업활동현금흐름,59,53,39,-36,41
투자활동현금흐름,-219,-38,-44,-197,-164
재무활동현금흐름,76,-46,-37,257,194
CAPEX,140,40,33,64,84
FCF,-81,13,6,-100,-43
이자발생부채,314,255,180,335,410
영업이익률,-1.64,-15.60,8.16,9.85,8.47
순이익률,-20.89,-89.10,6.23,3.89,1.71
ROE(%),-13.79,-76.39,9.28,4.12,1.48
ROA(%),-8.01,-36.17,3.94,1.98,0.71
부채비율,86.32,166.79,109.69,107.18,109.95
자본유보율,938.10,340.78,423.01,655.19,838.88
EPS(원),-796,"-2,995",240,139,62
PER(배),N/A,N/A,23.50,124.77,195.44
BPS(원),"5,418","2,424","2,671","3,789","4,548"
PBR(배),2.17,2.51,2.11,4.59,2.66
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,937,153","9,937,153","10,587,341","11,625,782","11,829,702"
