주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,,583,63,19
영업이익,-81,-158,6,-196,-264
영업이익(발표기준),-81,-158,6,-196,-264
세전계속사업이익,-98,-407,72,-192,-263
당기순이익,-98,-407,13,-192,-263
  당기순이익(지배),-98,-407,13,-192,-263
  당기순이익(비지배),,,,,
자산총계,190,116,797,635,467
부채총계,298,576,47,43,36
자본총계,-108,-459,750,592,430
  자본총계(지배),-108,-459,750,592,430
  자본총계(비지배),,,,,
자본금,10,10,31,96,99
영업활동현금흐름,-78,-144,-77,-130,-211
투자활동현금흐름,41,46,-26,-319,20
재무활동현금흐름,138,70,673,19,60
CAPEX,0,1,5,1,2
FCF,-78,-145,-82,-131,-213
이자발생부채,193,222,2,4,2
영업이익률,,,1.06,-308.81,"-1,371.60"
순이익률,,,2.27,-303.35,"-1,365.70"
ROE(%),163.41,143.51,9.11,-28.65,-51.39
ROA(%),-60.86,-265.76,2.90,-26.85,-47.71
부채비율,-275.86,-125.33,6.29,7.23,8.39
자본유보율,"-1,245.71","-4,631.26","2,221.10",480.87,265.11
EPS(원),"-1,238","-4,738",114,"-1,009","-1,345"
PER(배),,,167.72,N/A,N/A
BPS(원),"-1,278","-5,135","4,017","3,088","2,184"
PBR(배),0.00,0.00,4.77,4.71,6.50
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,748,000","6,187,791","18,675,174","19,181,174","19,707,425"
