주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,14,9,2,10,9
영업이익,-13,-16,-42,-50,-77
영업이익(발표기준),-13,-16,-42,-50,-77
세전계속사업이익,-13,-16,-87,-136,-89
당기순이익,-15,-19,-86,-136,-89
  당기순이익(지배),-15,-19,-86,-136,-89
  당기순이익(비지배),,,,,
자산총계,28,73,58,113,186
부채총계,24,16,239,136,48
자본총계,3,57,-181,-23,137
  자본총계(지배),3,57,-181,-23,137
  자본총계(비지배),,,,,
자본금,9,10,7,20,46
영업활동현금흐름,-14,-18,-22,-35,-46
투자활동현금흐름,-1,-60,26,38,-12
재무활동현금흐름,28,70,-1,89,121
CAPEX,1,1,4,5,13
FCF,-15,-19,-26,-40,-59
이자발생부채,9,6,226,116,24
영업이익률,-89.99,-175.45,"-1,798.20",-481.64,-810.83
순이익률,-102.73,-219.13,"-3,660.65","-1,307.75",-938.20
ROE(%),,-64.82,138.59,133.56,-154.35
ROA(%),,-38.83,-131.53,-158.62,-59.21
부채비율,737.88,27.96,-132.25,-597.14,35.23
자본유보율,-61.70,475.66,"-2,906.08",-301.14,138.89
EPS(원),-253,-270,"-1,092","-1,677",-995
PER(배),,,,,N/A
BPS(원),48,720,"-2,296",-264,"1,468"
PBR(배),0.00,0.00,0.00,0.00,12.47
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,506,660","5,506,660","5,506,660","7,963,994","9,277,746"
