주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,,,191,291,374,440
영업이익,,,-1,30,30,41
영업이익(발표기준),,,-1,30,30,
세전계속사업이익,,,-6,24,8,39
당기순이익,,,-3,22,5,33
  당기순이익(지배),,,-3,22,5,33
  당기순이익(비지배),,,,,,
자산총계,,,121,226,266,
부채총계,,,103,186,86,
자본총계,,,18,40,179,
  자본총계(지배),,,18,40,179,
  자본총계(비지배),,,,,,
자본금,,,2,2,15,
영업활동현금흐름,,,45,34,1,
투자활동현금흐름,,,-31,-47,-4,
재무활동현금흐름,,,8,43,34,
CAPEX,,,31,8,5,
FCF,,,14,25,-4,
이자발생부채,,,31,61,6,
영업이익률,,,-0.33,10.26,7.94,9.32
순이익률,,,-1.47,7.42,1.44,7.50
ROE(%),,,,74.44,4.92,
ROA(%),,,,12.47,2.20,
부채비율,,,568.88,464.12,48.14,
자본유보율,,,804.84,"1,898.81","1,109.94",
EPS(원),,,-147,"1,119",234,939
PER(배),,,,,,18.47
BPS(원),,,994,"2,035","6,135",
PBR(배),,,0.00,0.00,0.00,
현금DPS(원),0,0,0,0,,
현금배당수익률,,,,,,
현금배당성향(%),,,0.00,0.00,,
발행주식수(보통주),"2,000,000","2,000,000","1,820,500","1,820,500","2,923,285",
