주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,361,313,410,345,578
영업이익,80,57,49,27,56
영업이익(발표기준),80,57,49,27,56
세전계속사업이익,75,6,51,20,76
당기순이익,62,0,42,17,61
  당기순이익(지배),62,0,42,19,62
  당기순이익(비지배),,,,-2,-1
자산총계,285,422,453,535,726
부채총계,95,94,50,123,223
자본총계,189,328,402,412,503
  자본총계(지배),189,328,402,416,499
  자본총계(비지배),,,,-3,5
자본금,10,32,32,32,32
영업활동현금흐름,-3,20,-6,56,120
투자활동현금흐름,-3,-2,-77,14,-3
재무활동현금흐름,51,83,-7,1,102
CAPEX,0,1,57,3,3
FCF,-3,19,-62,53,117
이자발생부채,69,44,1,10,72
영업이익률,22.13,18.20,12.03,7.87,9.78
순이익률,17.25,0.13,10.26,4.85,10.59
ROE(%),39.52,0.16,11.52,,13.51
ROA(%),27.88,0.12,9.62,,9.70
부채비율,50.27,28.60,12.54,29.77,44.27
자본유보율,"2,069.76","1,004.99","1,201.45","1,243.65","1,503.87"
EPS(원),202,1,132,60,194
PER(배),,"1,162.87",14.85,48.19,24.05
BPS(원),615,"1,255","1,387","1,434","1,719"
PBR(배),,1.24,1.42,2.01,2.72
현금DPS(원),0,20,25,25,30
현금배당수익률,0.00,1.29,1.27,0.87,0.64
현금배당성향(%),0.00,"1,262.70",17.23,38.14,14.09
발행주식수(보통주),"30,812,000","31,812,000","31,812,000","31,812,000","31,812,000"
