주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,452,456,667,768,691
영업이익,35,-27,51,74,13
영업이익(발표기준),35,-27,51,74,13
세전계속사업이익,31,-25,35,29,-73
당기순이익,35,-22,27,21,-73
  당기순이익(지배),35,-22,28,21,-73
  당기순이익(비지배),,,-1,0,0
자산총계,188,187,322,389,463
부채총계,60,81,291,320,115
자본총계,127,106,31,69,348
  자본총계(지배),127,106,31,70,348
  자본총계(비지배),,,0,0,0
자본금,22,22,18,19,36
영업활동현금흐름,33,-35,72,42,-29
투자활동현금흐름,-19,0,-85,-34,10
재무활동현금흐름,-1,17,45,-6,-6
CAPEX,8,11,15,10,11
FCF,25,-47,57,32,-39
이자발생부채,26,43,161,154,51
영업이익률,7.65,-6.00,7.59,9.70,1.83
순이익률,7.84,-4.73,4.07,2.70,-10.53
ROE(%),33.33,-18.50,,41.13,-34.80
ROA(%),24.91,-11.51,,5.83,-17.07
부채비율,47.44,76.72,942.06,459.91,32.93
자본유보율,484.09,385.21,75.54,266.17,856.06
EPS(원),,-70,92,67,-216
PER(배),,,,,N/A
BPS(원),,342,103,220,956
PBR(배),,,,,1.78
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"26,555,247","26,555,247","26,555,247","27,682,521","36,440,420"
