주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,240,235,205,115,529
영업이익,22,21,6,-31,-65
영업이익(발표기준),22,21,6,-31,-65
세전계속사업이익,8,37,-12,-113,-291
당기순이익,7,28,-12,-88,-251
  당기순이익(지배),7,28,-12,-79,-224
  당기순이익(비지배),,0,0,-8,-27
자산총계,418,539,486,"1,340",944
부채총계,190,291,155,734,312
자본총계,229,248,331,607,632
  자본총계(지배),229,242,331,444,535
  자본총계(비지배),,,,163,96
자본금,37,37,48,72,91
영업활동현금흐름,-72,25,-1,-19,-16
투자활동현금흐름,-25,-90,-13,-267,3
재무활동현금흐름,68,101,-14,312,-3
CAPEX,14,7,25,2,3
FCF,-86,18,-26,-20,-19
이자발생부채,135,188,131,327,209
영업이익률,9.33,8.80,2.75,-26.68,-12.19
순이익률,2.96,11.95,-5.82,-76.41,-47.41
ROE(%),4.30,,-4.14,-20.49,-45.81
ROA(%),1.74,,-2.32,-9.61,-21.97
부채비율,82.87,117.73,46.90,120.95,49.43
자본유보율,453.48,516.37,554.19,503.03,466.13
EPS(원),116,385,-152,-656,"-1,465"
PER(배),51.24,10.50,N/A,N/A,N/A
BPS(원),"3,100","3,362","3,488","3,120","2,977"
PBR(배),1.92,1.20,2.81,3.19,1.80
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,380,944","7,380,944","9,672,944","14,474,525","18,234,240"
