주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,172,155,153,167,152
영업이익,-43,-5,-13,-3,-11
영업이익(발표기준),-43,-5,-13,-3,-11
세전계속사업이익,-155,-10,-15,-9,-11
당기순이익,-155,-10,-15,-9,-11
  당기순이익(지배),-155,-10,-15,-9,-11
  당기순이익(비지배),,,,,
자산총계,644,374,351,341,500
부채총계,440,162,155,152,90
자본총계,204,211,196,189,409
  자본총계(지배),204,211,196,189,409
  자본총계(비지배),,,,,
자본금,160,18,18,18,53
영업활동현금흐름,7,-14,3,9,4
투자활동현금흐름,-280,258,7,-6,-93
재무활동현금흐름,280,-246,-10,0,163
CAPEX,,0,8,6,14
FCF,7,-14,-5,3,-10
이자발생부채,394,129,118,118,50
영업이익률,-25.12,-3.20,-8.35,-2.08,-7.09
순이익률,-89.67,-6.14,-9.90,-5.15,-7.52
ROE(%),-106.28,-4.58,-7.46,-4.47,-3.83
ROA(%),-26.87,-1.87,-4.19,-2.49,-2.72
부채비율,215.66,76.84,79.06,80.41,22.10
자본유보율,7.63,"1,074.99",990.65,950.38,663.93
EPS(원),"-14,427",-132,-211,-120,-129
PER(배),,,,,N/A
BPS(원),"2,833","2,934","2,719","2,628","3,827"
PBR(배),0.00,0.00,0.00,0.00,2.44
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,200,000","7,200,000","7,200,000","7,200,000","9,460,000"
