주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,451,478,518,552,927,"1,628","1,779"
영업이익,27,12,41,64,60,198,228
영업이익(발표기준),27,12,41,64,60,,
세전계속사업이익,73,106,122,213,371,454,538
당기순이익,80,121,112,153,317,341,421
  당기순이익(지배),81,122,112,153,319,382,453
  당기순이익(비지배),-2,-1,0,0,-1,,
자산총계,"1,820","1,962","2,102","2,300","3,237","3,807","4,316"
부채총계,64,70,102,151,512,693,732
자본총계,"1,756","1,892","2,000","2,149","2,724","3,114","3,584"
  자본총계(지배),"1,802","1,939","2,023","2,172","2,619","3,010","3,482"
  자본총계(비지배),-46,,-23,-23,105,,
자본금,45,45,45,45,45,45,45
영업활동현금흐름,13,82,73,78,-137,305,244
투자활동현금흐름,189,54,-81,-147,-270,31,156
재무활동현금흐름,-86,,-1,-2,275,11,-30
CAPEX,21,40,85,96,50,70,80
FCF,-7,42,-12,-18,-187,230,163
이자발생부채,14,15,17,17,196,,
영업이익률,5.95,2.44,7.87,11.54,6.46,12.20,12.79
순이익률,17.67,25.32,21.68,27.64,34.23,20.95,23.66
ROE(%),4.62,6.49,5.67,7.28,13.30,13.55,13.96
ROA(%),4.36,6.39,5.52,6.94,11.46,9.68,10.37
부채비율,3.66,3.73,5.09,7.03,18.81,22.25,20.42
자본유보율,"6,208.39","6,482.83","6,661.88","7,002.62","7,866.98",,
EPS(원),179,267,247,336,701,840,997
PER(배),22.36,8.44,15.46,19.04,14.65,10.50,8.85
BPS(원),"4,224","4,544","4,740","5,091","5,945","6,625","7,663"
PBR(배),0.95,0.50,0.81,1.26,1.73,1.33,1.15
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"45,437,002","45,437,002","45,437,002","45,437,002","45,437,002",,
