주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,369,543,429,632,361
영업이익,22,51,35,-1,-13
영업이익(발표기준),22,51,35,-1,-13
세전계속사업이익,17,52,35,-2,-11
당기순이익,16,43,31,3,-3
  당기순이익(지배),16,43,31,3,-3
  당기순이익(비지배),,,,,
자산총계,424,441,487,442,582
부채총계,249,230,125,80,222
자본총계,175,211,362,362,360
  자본총계(지배),175,211,362,362,360
  자본총계(비지배),,,,,
자본금,4,19,24,24,25
영업활동현금흐름,-28,52,-114,57,-9
투자활동현금흐름,-40,8,62,3,-3
재무활동현금흐름,52,-46,37,-40,-4
CAPEX,40,6,17,6,4
FCF,-68,46,-130,50,-13
이자발생부채,178,132,51,16,13
영업이익률,5.85,9.46,8.12,-0.17,-3.50
순이익률,4.24,7.90,7.21,0.51,-0.82
ROE(%),9.80,22.23,10.78,0.88,-0.82
ROA(%),3.77,9.93,6.66,0.69,-0.58
부채비율,141.80,109.11,34.47,21.97,61.68
자본유보율,"3,995.18",984.67,"1,375.29","1,367.15","1,334.55"
EPS(원),427,"1,115",717,66,-61
PER(배),,,16.40,247.40,N/A
BPS(원),"4,550","5,476","7,453","7,447","7,247"
PBR(배),0.00,0.00,1.58,2.19,3.16
현금DPS(원),6,6,80,80,80
현금배당수익률,,,0.68,0.49,0.35
현금배당성향(%),1.37,0.54,12.59,121.42,-134.34
발행주식수(보통주),"3,852,630","3,852,630","4,862,000","4,862,000","4,968,000"
