주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,064","1,125","1,199","1,338","1,416","1,831","2,454","2,439"
영업이익,-201,-176,-171,237,378,586,922,813
영업이익(발표기준),-201,-176,-171,237,378,,,
세전계속사업이익,72,100,123,193,346,529,865,750
당기순이익,86,-54,118,201,298,409,667,603
  당기순이익(지배),85,-59,136,202,296,402,657,590
  당기순이익(비지배),1,5,-18,-1,2,,,
자산총계,"3,380","3,541","3,993","4,330","5,752","6,628","7,829","7,390"
부채총계,936,"1,102","1,445","1,541","1,995","2,439","2,821","2,210"
자본총계,"2,445","2,439","2,548","2,788","3,757","4,188","5,008","5,180"
  자본총계(지배),"2,432","2,388","2,513","2,755","3,658","4,125","4,934","5,040"
  자본총계(비지배),13,51,36,33,99,,,
자본금,33,33,33,33,33,31,31,30
영업활동현금흐름,-206,-155,-117,137,3,413,635,250
투자활동현금흐름,33,38,-122,-207,-429,-89,-163,40
재무활동현금흐름,-21,106,277,89,506,162,158,-270
CAPEX,23,11,21,6,9,37,37,40
FCF,-229,-166,-138,131,-6,491,792,
이자발생부채,539,665,"1,039","1,133","1,434",,,
영업이익률,-18.93,-15.61,-14.23,17.70,26.71,32.01,37.56,33.33
순이익률,8.07,-4.83,9.86,15.05,21.05,22.36,27.17,24.72
ROE(%),3.56,-2.45,5.54,7.68,9.22,10.33,14.50,11.83
ROA(%),2.58,-1.57,3.14,4.84,5.91,6.61,9.22,7.92
부채비율,38.27,45.19,56.70,55.28,53.11,58.24,56.33,42.66
자본유보율,"7,391.33","7,272.36","7,685.07","8,299.44","9,730.85",,,
EPS(원),"1,294",-896,"2,057","3,067","4,484","6,095","9,957","8,946"
PER(배),71.33,N/A,14.70,12.01,52.97,10.57,6.47,7.20
BPS(원),"37,810","37,127","39,066","42,823","55,632","62,682","74,974","76,580"
PBR(배),2.44,1.47,0.77,0.86,4.27,1.03,0.86,0.84
현금DPS(원),,,,,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"6,595,192","6,595,192","6,595,192","6,595,192","6,595,192",,,
