주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,51,53,81
영업이익,,,-51,-49,-60
영업이익(발표기준),,,-51,-49,-60
세전계속사업이익,,,-23,-47,-52
당기순이익,,,-23,-47,-52
  당기순이익(지배),,,-23,-47,-52
  당기순이익(비지배),,,,,
자산총계,,,72,306,269
부채총계,,,20,12,35
자본총계,,,52,294,234
  자본총계(지배),,,52,294,234
  자본총계(비지배),,,,,
자본금,,,32,41,41
영업활동현금흐름,,,-54,-45,-32
투자활동현금흐름,,,23,-167,14
재무활동현금흐름,,,22,281,-1
CAPEX,,,1,4,6
FCF,,,-55,-49,-38
이자발생부채,,,12,3,17
영업이익률,,,-98.40,-92.95,-73.97
순이익률,,,-43.87,-89.50,-64.79
ROE(%),,,,-27.31,-19.86
ROA(%),,,,-24.94,-18.22
부채비율,,,39.62,4.23,15.02
자본유보율,,,55.34,619.34,498.99
EPS(원),,,-426,-671,-643
PER(배),,,,N/A,N/A
BPS(원),,,800,"3,622","2,864"
PBR(배),,,0.00,7.45,5.36
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"3,093,930","3,093,930","6,444,483","8,105,648","8,164,148"
