주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,408,488,490,673,"1,025"
영업이익,-16,15,26,32,71
영업이익(발표기준),-16,15,26,32,71
세전계속사업이익,-17,6,24,37,65
당기순이익,-11,8,20,29,53
  당기순이익(지배),-11,8,20,29,53
  당기순이익(비지배),,,,,
자산총계,619,663,936,"1,127",929
부채총계,277,306,535,605,346
자본총계,341,357,401,523,583
  자본총계(지배),341,357,401,523,583
  자본총계(비지배),,,,,
자본금,49,49,53,57,57
영업활동현금흐름,69,110,99,-51,-30
투자활동현금흐름,-50,-23,-54,-104,23
재무활동현금흐름,-19,15,-36,62,-4
CAPEX,5,15,6,53,28
FCF,64,96,93,-104,-58
이자발생부채,114,116,58,17,7
영업이익률,-3.88,3.07,5.33,4.70,6.96
순이익률,-2.66,1.74,4.04,4.38,5.14
ROE(%),-3.13,2.43,5.22,6.39,9.52
ROA(%),-1.75,1.33,2.48,2.86,5.12
부채비율,81.29,85.52,133.52,115.73,59.31
자본유보율,599.26,654.86,683.89,816.22,916.78
EPS(원),-44,35,80,105,184
PER(배),N/A,65.60,42.49,65.11,30.26
BPS(원),"1,393","1,489","1,550","1,830","2,034"
PBR(배),2.84,1.53,2.18,3.74,2.73
현금DPS(원),0,30,0,0,30
현금배당수익률,0.00,1.32,0.00,0.00,0.54
현금배당성향(%),0.00,84.74,0.00,0.00,16.33
발행주식수(보통주),"24,500,000","24,500,000","26,125,823","28,652,800","28,652,800"
