주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,274","1,478","1,685","1,529","1,843"
영업이익,60,47,51,1,41
영업이익(발표기준),60,47,51,1,41
세전계속사업이익,55,83,32,21,11
당기순이익,43,62,22,11,-5
  당기순이익(지배),43,62,22,11,-5
  당기순이익(비지배),,,,,
자산총계,"1,380","1,552","1,660","1,741","1,907"
부채총계,701,838,905,988,"1,060"
자본총계,679,713,755,752,847
  자본총계(지배),679,713,755,752,847
  자본총계(비지배),,,,,
자본금,72,72,77,77,89
영업활동현금흐름,114,95,62,-33,174
투자활동현금흐름,-153,-212,-167,40,-72
재무활동현금흐름,95,52,41,41,-125
CAPEX,147,224,164,207,92
FCF,-34,-130,-103,-240,82
이자발생부채,388,504,539,604,587
영업이익률,4.70,3.20,3.04,0.04,2.23
순이익률,3.37,4.18,1.33,0.73,-0.29
ROE(%),6.68,,3.05,1.49,-0.67
ROA(%),3.31,,1.40,0.66,-0.29
부채비율,103.21,117.50,119.88,131.38,125.16
자본유보율,848.44,914.79,902.12,894.88,866.22
EPS(원),345,432,152,73,-34
PER(배),9.64,7.38,22.45,48.80,N/A
BPS(원),"4,742","5,117","5,057","5,005","4,840"
PBR(배),0.70,0.62,0.68,0.71,1.11
현금DPS(원),100,100,100,100,100
현금배당수익률,3.00,3.14,2.93,2.81,1.87
현금배당성향(%),33.37,22.56,66.67,134.07,-327.31
발행주식수(보통주),"14,317,308","14,317,308","15,302,527","15,405,937","17,873,330"
