주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,827,573,436,417,"1,360"
영업이익,81,36,66,39,36
영업이익(발표기준),81,36,66,39,36
세전계속사업이익,61,41,68,49,65
당기순이익,47,30,54,38,54
  당기순이익(지배),47,30,54,38,54
  당기순이익(비지배),,,,,
자산총계,"1,668","1,723","1,680","1,702","1,985"
부채총계,185,232,183,187,458
자본총계,"1,484","1,491","1,496","1,515","1,527"
  자본총계(지배),"1,484","1,491","1,496","1,515","1,527"
  자본총계(비지배),,,,,
자본금,93,93,93,93,93
영업활동현금흐름,80,287,89,148,-42
투자활동현금흐름,-27,-79,-105,3,235
재무활동현금흐름,-108,-77,-22,-55,-49
CAPEX,16,1,58,57,3
FCF,64,286,31,91,-45
이자발생부채,67,8,34,0,9
영업이익률,9.83,6.24,15.07,9.30,2.64
순이익률,5.70,5.23,12.38,9.20,4.00
ROE(%),3.22,2.02,3.61,,3.58
ROA(%),2.71,1.77,3.17,,2.95
부채비율,12.46,15.58,12.25,12.37,29.98
자본유보율,"1,543.57","1,556.71","1,595.59","1,618.63","1,666.87"
EPS(원),252,160,289,205,291
PER(배),15.08,24.27,12.96,18.29,30.55
BPS(원),"8,434","8,473","8,881","9,058","9,731"
PBR(배),0.45,0.46,0.42,0.41,0.91
현금DPS(원),100,100,100,80,80
현금배당수익률,2.63,2.57,2.67,2.13,0.90
현금배당성향(%),37.35,58.72,31.24,34.87,23.06
발행주식수(보통주),"18,691,918","18,691,918","18,691,918","18,691,918","18,691,918"
