주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,696,692,519,665,797
영업이익,92,90,-24,8,14
영업이익(발표기준),92,90,-24,8,14
세전계속사업이익,92,95,-17,13,23
당기순이익,94,98,2,30,34
  당기순이익(지배),94,98,2,30,34
  당기순이익(비지배),,,,,
자산총계,855,919,915,"1,170","1,077"
부채총계,218,211,225,463,344
자본총계,637,708,690,707,732
  자본총계(지배),637,708,690,707,732
  자본총계(비지배),,,,,
자본금,35,36,36,36,36
영업활동현금흐름,107,152,9,332,-123
투자활동현금흐름,-37,-139,-26,-293,124
재무활동현금흐름,-13,-58,21,-47,-22
CAPEX,47,26,98,51,58
FCF,60,126,-89,281,-181
이자발생부채,80,50,90,57,42
영업이익률,13.25,13.00,-4.62,1.16,1.77
순이익률,13.44,14.15,0.35,4.53,4.21
ROE(%),15.71,14.55,0.26,4.31,4.67
ROA(%),11.55,11.03,0.20,2.89,2.99
부채비율,34.28,29.86,32.60,65.45,47.01
자본유보율,"1,777.41","1,960.50","1,912.83","1,983.27","2,057.65"
EPS(원),"1,381","1,395",25,424,472
PER(배),15.93,11.97,865.37,50.97,41.17
BPS(원),"9,337","10,131","9,880","10,184","10,551"
PBR(배),2.36,1.65,2.22,2.12,1.84
현금DPS(원),270,270,70,100,100
현금배당수익률,1.23,1.62,0.32,0.46,0.51
현금배당성향(%),19.68,19.28,271.97,23.05,20.68
발행주식수(보통주),"6,855,460","7,106,760","7,106,760","7,106,760","7,106,760"
