주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,209,199,174,314,493
영업이익,5,-16,-22,-22,9
영업이익(발표기준),5,-16,-22,-22,9
세전계속사업이익,-115,-56,-18,-35,-71
당기순이익,-115,-56,-18,-35,-68
  당기순이익(지배),-115,-56,-18,-35,-68
  당기순이익(비지배),,,,,
자산총계,262,216,195,472,491
부채총계,15,24,18,194,68
자본총계,248,192,177,279,423
  자본총계(지배),248,192,177,279,423
  자본총계(비지배),,,,,
자본금,147,147,147,186,218
영업활동현금흐름,-12,-9,-43,-17,-15
투자활동현금흐름,-83,-1,21,-159,-129
재무활동현금흐름,108,,0,269,106
CAPEX,,0,0,8,31
FCF,-12,-9,-43,-25,-46
이자발생부채,0,0,0,31,36
영업이익률,2.30,-7.90,-12.41,-6.89,1.75
순이익률,-54.77,-27.97,-10.22,-11.21,-13.72
ROE(%),-45.51,-25.32,-9.64,,-19.27
ROA(%),-42.42,-23.27,-8.67,,-14.36
부채비율,6.04,12.37,10.00,69.50,16.10
자본유보율,81.75,44.20,31.58,57.53,101.99
EPS(원),-417,-189,-60,-100,-159
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),841,652,601,749,970
PBR(배),6.47,7.29,7.82,5.32,2.66
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"29,439,113","29,439,113","29,439,113","37,199,870","43,615,959"
