주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,154","2,534","2,486","2,239","1,986","2,814","3,772"
영업이익,409,113,70,-49,-237,84,412
영업이익(발표기준),409,113,70,-49,-237,,
세전계속사업이익,336,97,40,-182,-113,184,420
당기순이익,253,71,4,-166,-47,188,330
  당기순이익(지배),253,71,4,-166,-47,188,330
  당기순이익(비지배),,,,,,,
자산총계,"3,941","3,958","4,305","4,355","4,195","4,600","5,126"
부채총계,"2,024","1,984","2,317","2,522","2,342","2,596","2,780"
자본총계,"1,918","1,974","1,989","1,833","1,854","2,004","2,345"
  자본총계(지배),"1,918","1,974","1,989","1,833","1,854","2,004","2,345"
  자본총계(비지배),,,,,,,
자본금,49,49,49,49,49,50,50
영업활동현금흐름,316,223,22,24,-12,102,524
투자활동현금흐름,-218,-445,-145,-193,134,-96,-206
재무활동현금흐름,31,59,323,159,-3,138,82
CAPEX,103,485,331,155,75,180,148
FCF,213,-262,-309,-131,-87,-260,90
이자발생부채,"1,297","1,356","1,701","1,782","1,652",,
영업이익률,12.96,4.45,2.81,-2.21,-11.96,2.97,10.91
순이익률,8.03,2.81,0.15,-7.40,-2.35,6.68,8.76
ROE(%),14.20,3.66,0.18,-8.67,-2.53,9.75,15.20
ROA(%),6.77,1.80,0.09,-3.82,-1.09,4.28,6.80
부채비율,105.50,100.50,116.48,137.56,126.33,129.48,118.57
자본유보율,"3,438.98","3,588.66","3,585.51","3,265.53","3,239.23",,
EPS(원),"2,600",730,37,"-1,700",-479,"1,930","3,392"
PER(배),18.96,24.64,795.00,N/A,N/A,14.05,7.99
BPS(원),"19,685","20,260","20,412","18,815","19,024","20,573","24,068"
PBR(배),2.50,0.89,1.45,2.05,1.39,1.32,1.13
현금DPS(원),,,,,,0,0
현금배당수익률,,,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"9,743,406","9,743,406","9,743,406","9,743,406","9,743,406",,
