주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,208","3,753","6,525","10,805","11,718"
영업이익,234,231,320,63,145
영업이익(발표기준),234,231,320,63,145
세전계속사업이익,211,266,560,-182,165
당기순이익,154,210,465,-232,76
  당기순이익(지배),159,211,461,-131,59
  당기순이익(비지배),-5,-1,4,-101,18
자산총계,"2,504","2,993","9,915","9,652","10,116"
부채총계,435,743,"6,478","6,295","6,498"
자본총계,"2,070","2,250","3,437","3,357","3,618"
  자본총계(지배),"2,054","2,246","2,689","2,543","2,796"
  자본총계(비지배),16,,748,814,822
자본금,100,120,120,120,120
영업활동현금흐름,271,268,827,762,646
투자활동현금흐름,-273,-447,-507,-355,-162
재무활동현금흐름,-28,150,-36,-550,-542
CAPEX,296,239,422,454,424
FCF,-25,28,405,308,222
이자발생부채,23,233,"3,262","2,788","2,627"
영업이익률,7.29,6.14,4.90,0.58,1.24
순이익률,4.80,5.59,7.13,-2.15,0.65
ROE(%),7.73,9.79,18.68,-5.01,2.21
ROA(%),6.18,7.64,7.21,-2.38,0.77
부채비율,21.01,33.00,188.50,187.52,179.61
자본유보율,"2,057.75","1,859.90","2,203.05","2,098.45","2,218.95"
EPS(원),662,879,"1,924",-547,246
PER(배),8.25,3.93,2.20,N/A,16.90
BPS(원),"8,631","9,472","11,330","10,717","12,025"
PBR(배),0.63,0.36,0.37,0.36,0.35
현금DPS(원),83,100,,,
현금배당수익률,1.53,2.89,,,
현금배당성향(%),12.50,11.26,0.00,0.00,
발행주식수(보통주),"23,958,188","23,958,188","23,958,188","23,958,188","23,958,188"
