주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,32,31,45,42,23
영업이익,-69,-200,-417,-551,-485
영업이익(발표기준),-69,-200,-417,-551,-485
세전계속사업이익,-65,-292,"-1,082",-681,-677
당기순이익,-65,-305,"-1,084",-856,-526
  당기순이익(지배),-65,-287,"-1,070",-829,-509
  당기순이익(비지배),,-18,-13,-27,-17
자산총계,"1,794","2,842","3,714","4,781","2,825"
부채총계,149,"1,462","1,724","1,978",574
자본총계,"1,645","1,380","1,991","2,804","2,251"
  자본총계(지배),"1,645","1,339","1,956","2,763","2,254"
  자본총계(비지배),,,35,41,-2
자본금,80,80,107,171,171
영업활동현금흐름,-26,-135,-411,-480,-382
투자활동현금흐름,62,-769,"-1,339",-20,364
재무활동현금흐름,68,"1,129","1,864","1,947","-1,493"
CAPEX,86,236,563,165,117
FCF,-112,-370,-974,-645,-499
이자발생부채,114,819,"1,287","1,496",325
영업이익률,-219.80,-639.25,-936.89,"-1,296.49","-2,094.70"
순이익률,-205.70,-976.04,"-2,432.59","-2,014.55","-2,273.01"
ROE(%),-3.87,,-64.98,-35.12,-20.31
ROA(%),-3.64,,-33.05,-20.15,-13.84
부채비율,9.08,105.98,86.59,70.55,25.48
자본유보율,"1,961.32","1,582.96","1,716.69","1,477.39","1,182.40"
EPS(원),-232,"-1,028","-3,755","-2,808","-1,352"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"5,883","4,789","6,646","7,337","5,984"
PBR(배),14.91,28.49,9.54,4.09,3.79
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"27,953,185","27,953,185","29,439,974","37,689,326","37,689,326"
