주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,957,"1,074","1,179","1,331","1,392"
영업이익,30,67,60,65,21
영업이익(발표기준),30,67,60,65,21
세전계속사업이익,14,42,38,42,12
당기순이익,13,39,34,41,13
  당기순이익(지배),13,39,34,41,13
  당기순이익(비지배),,,,,
자산총계,816,928,"1,024","1,224","1,346"
부채총계,611,747,689,847,929
자본총계,204,181,335,376,417
  자본총계(지배),204,181,335,376,417
  자본총계(비지배),,,,,
자본금,12,10,13,13,14
영업활동현금흐름,65,109,92,85,-9
투자활동현금흐름,-39,-107,-129,-194,-65
재무활동현금흐름,-27,-7,36,111,73
CAPEX,38,104,128,194,52
FCF,27,5,-36,-108,-61
이자발생부채,415,501,447,572,649
영업이익률,3.10,6.23,5.12,4.90,1.48
순이익률,1.33,3.66,2.90,3.06,0.92
ROE(%),6.42,20.42,13.26,11.43,3.23
ROA(%),1.57,4.51,3.50,3.62,1.00
부채비율,299.30,413.02,205.97,225.16,222.82
자본유보율,"1,022.92","1,711.37","2,421.88","2,746.30","2,745.58"
EPS(원),108,319,283,285,90
PER(배),,,14.10,20.87,51.39
BPS(원),"1,739","1,495","2,347","2,640","2,924"
PBR(배),0.00,0.00,1.70,2.25,1.58
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),0.00,0.00,2.05,1.72,
발행주식수(보통주),"10,350,000","10,350,000","12,858,000","12,858,000","14,258,000"
