주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,604","3,838","4,109","4,460","4,848","5,246","5,633","5,807"
영업이익,426,486,513,627,726,819,905,904
영업이익(발표기준),426,486,513,627,726,,,
세전계속사업이익,414,506,537,612,747,824,910,932
당기순이익,307,383,408,472,547,610,693,717
  당기순이익(지배),307,383,408,472,547,610,693,717
  당기순이익(비지배),,,,,,,,
자산총계,"2,347","2,681","3,191","3,688","4,343","4,685","5,188","5,727"
부채총계,631,697,949,"1,100","1,327","1,310","1,359","1,332"
자본총계,"1,715","1,984","2,242","2,588","3,015","3,376","3,830","4,395"
  자본총계(지배),"1,715","1,984","2,242","2,588","3,015","3,376","3,830","4,395"
  자본총계(비지배),,,,,,,,
자본금,304,304,304,304,304,304,304,304
영업활동현금흐름,437,494,616,748,797,758,788,767
투자활동현금흐름,-245,-411,-292,-296,-686,-97,-80,-76
재무활동현금흐름,-144,-84,-145,-216,-254,-193,-214,-221
CAPEX,209,85,54,33,60,33,20,44
FCF,228,409,562,714,737,818,864,
이자발생부채,0,0,201,216,216,,,
영업이익률,11.83,12.67,12.49,14.06,14.98,15.61,16.07,15.57
순이익률,8.51,9.98,9.93,10.58,11.28,11.64,12.30,12.35
ROE(%),18.77,20.71,19.30,19.54,19.52,19.11,19.24,17.44
ROA(%),13.53,15.24,13.89,13.72,13.62,13.53,14.04,13.14
부채비율,36.81,35.14,42.33,42.50,44.02,38.79,35.49,30.31
자본유보율,489.11,588.57,676.42,789.32,924.37,,,
EPS(원),505,631,672,777,901,"1,006","1,141","1,181"
PER(배),17.20,17.36,20.77,31.92,19.99,17.45,15.38,14.86
BPS(원),"2,869","3,318","3,750","4,329","5,044","5,646","6,406","7,352"
PBR(배),3.03,3.30,3.72,5.73,3.57,3.11,2.74,2.39
현금DPS(원),140,190,230,275,330,365,410,390
현금배당수익률,1.61,1.74,1.65,1.11,1.83,2.08,2.34,2.22
현금배당성향(%),27.29,29.65,33.72,34.85,36.08,36.30,35.92,33.02
발행주식수(보통주),"60,714,820","60,714,820","60,714,820","60,714,820","60,714,820",,,
