주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,609,626,601,526,583
영업이익,11,10,26,-12,36
영업이익(발표기준),11,10,26,-12,36
세전계속사업이익,-8,4,23,-18,36
당기순이익,-27,4,18,-16,25
  당기순이익(지배),-28,4,18,-16,25
  당기순이익(비지배),1,,,,0
자산총계,792,773,757,764,832
부채총계,361,353,336,360,402
자본총계,431,421,421,404,429
  자본총계(지배),431,421,421,404,429
  자본총계(비지배),,,,,0
자본금,82,82,82,82,82
영업활동현금흐름,39,48,79,75,88
투자활동현금흐름,-89,-53,-22,-8,-68
재무활동현금흐름,62,-18,-64,-17,-22
CAPEX,9,3,7,3,8
FCF,30,45,72,72,80
이자발생부채,184,173,161,154,199
영업이익률,1.82,1.61,4.37,-2.29,6.23
순이익률,-4.44,0.59,2.97,-3.07,4.37
ROE(%),-6.10,0.87,4.24,-3.91,
ROA(%),-3.18,0.47,2.33,-2.12,
부채비율,83.77,83.80,79.75,89.01,93.80
자본유보율,510.34,501.32,502.20,481.35,511.61
EPS(원),-169,23,109,-99,156
PER(배),N/A,134.33,35.49,N/A,44.67
BPS(원),"2,662","2,599","2,604","2,499","2,651"
PBR(배),1.08,1.17,1.49,3.45,2.63
현금DPS(원),100,100,0,0,100
현금배당수익률,3.48,3.28,0.00,0.00,1.43
현금배당성향(%),-24.81,437.69,0.00,0.00,63.49
발행주식수(보통주),"16,312,697","16,312,697","16,312,697","16,312,697","16,312,697"
