주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,,,,,0,0,0
영업이익,-32,-102,-132,-278,-295,-343,-380,-407
영업이익(발표기준),-32,-102,-132,-278,-295,,,
세전계속사업이익,-35,-376,-135,-254,-170,-293,-333,-363
당기순이익,-35,-376,-135,-254,-170,-293,-333,-363
  당기순이익(지배),-35,-376,-135,-254,-170,-293,-333,-363
  당기순이익(비지배),,,,,,,,
자산총계,13,318,807,585,"1,333","1,040",707,344
부채총계,116,272,20,28,898,898,898,898
자본총계,-103,46,787,557,435,142,-191,-554
  자본총계(지배),-103,46,787,557,435,142,-191,-554
  자본총계(비지배),,,,,,,,
자본금,26,39,50,102,103,103,103,103
영업활동현금흐름,-27,-81,-152,-234,-252,-135,-181,-214
투자활동현금흐름,1,-303,-459,261,-778,311,326,362
재무활동현금흐름,26,387,610,-1,"1,015",-154,-154,-154
CAPEX,0,7,26,7,8,0,0,0
FCF,-27,-89,-178,-241,-259,-329,-373,-403
이자발생부채,44,19,8,6,2,,,
영업이익률,,,,,,,,
순이익률,,,,,,,,
ROE(%),,"1,316.29",-32.46,-37.72,,-101.48,"1,359.18",97.45
ROA(%),,-226.68,-24.02,-36.43,,-24.69,-38.12,-69.08
부채비율,-112.96,594.35,2.55,4.94,206.24,632.39,-470.16,-162.09
자본유보율,-503.07,17.78,"1,458.66",449.32,324.58,,,
EPS(원),-340,"-2,831",-815,"-1,249",-820,"-1,391","-1,576","-1,718"
PER(배),,,N/A,N/A,N/A,N/A,N/A,N/A
BPS(원),"-1,008",295,"3,897","2,740","2,089",672,-904,"-2,622"
PBR(배),0.00,0.00,5.68,42.95,28.05,42.41,N/A,N/A
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"10,214,000","15,556,978","20,194,842","20,342,842","20,516,342",,,
