주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,233,329,428,467,490,737,"1,163"
영업이익,11,41,60,64,56,103,212
영업이익(발표기준),11,41,60,64,56,,
세전계속사업이익,-54,-6,60,47,79,92,194
당기순이익,-54,25,44,46,75,86,181
  당기순이익(지배),-54,25,44,46,75,86,181
  당기순이익(비지배),,,,,,,
자산총계,219,335,466,806,985,"1,596","2,037"
부채총계,155,234,278,372,482,"1,008","1,268"
자본총계,64,101,188,434,502,588,769
  자본총계(지배),64,101,188,434,502,588,769
  자본총계(비지배),,,,,,,
자본금,21,22,23,26,28,28,28
영업활동현금흐름,22,34,40,27,43,55,148
투자활동현금흐름,-34,-90,-65,-336,-81,-589,-327
재무활동현금흐름,10,64,23,314,90,505,230
CAPEX,12,69,63,95,285,500,300
FCF,10,-36,-23,-68,-242,-446,-148
이자발생부채,128,171,185,291,399,,
영업이익률,4.79,12.44,14.03,13.63,11.49,13.98,18.23
순이익률,-23.29,7.46,10.30,9.88,15.31,11.67,15.56
ROE(%),-75.41,29.70,,14.83,16.01,15.77,26.68
ROA(%),-22.11,8.86,,7.26,8.37,6.66,9.96
부채비율,240.17,232.24,147.41,85.59,96.03,171.43,164.89
자본유보율,208.79,352.20,743.34,"1,578.93","1,799.28",,
EPS(원),"-1,460",573,960,946,"1,388","1,573","3,310"
PER(배),N/A,14.30,18.29,55.09,34.64,25.62,12.18
BPS(원),"1,566","2,271","4,079","8,141","9,380","11,080","14,491"
PBR(배),4.36,3.61,4.31,6.40,5.13,3.64,2.78
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,
발행주식수(보통주),"3,707,006","4,502,230","4,681,587","5,394,837","5,468,262",,
