주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,381,464,474,464,487
영업이익,27,56,47,36,37
영업이익(발표기준),27,56,47,36,37
세전계속사업이익,20,57,45,27,9
당기순이익,19,53,43,30,16
  당기순이익(지배),19,50,41,26,12
  당기순이익(비지배),,2,3,4,4
자산총계,314,598,856,932,"1,076"
부채총계,146,336,554,604,590
자본총계,168,262,302,328,486
  자본총계(지배),168,248,287,310,465
  자본총계(비지배),,14,15,18,21
자본금,10,7,24,24,31
영업활동현금흐름,33,43,40,85,49
투자활동현금흐름,-24,-204,-231,-78,-186
재무활동현금흐름,-6,163,205,30,155
CAPEX,23,280,231,75,183
FCF,10,-237,-191,10,-134
이자발생부채,77,244,452,484,501
영업이익률,7.00,12.18,9.83,7.67,7.60
순이익률,5.08,11.40,9.14,6.44,3.33
ROE(%),12.15,,15.24,8.81,3.07
ROA(%),6.42,,5.96,3.34,1.62
부채비율,87.32,128.08,183.64,184.00,121.53
자본유보율,"1,665.32","3,363.37","1,096.03","1,198.77","1,430.04"
EPS(원),200,523,422,272,99
PER(배),,,,,71.66
BPS(원),"1,739","2,571","2,973","3,209","3,816"
PBR(배),0.00,0.00,0.00,0.00,1.85
현금DPS(원),11,13,15,10,10
현금배당수익률,,,,,0.14
현금배당성향(%),5.52,2.54,3.54,3.66,10.23
발행주식수(보통주),"9,649,045","9,649,045","9,649,045","9,649,045","12,203,280"
